InvoiceID,OrderID,CardID,TotalAmount,Discount,FinalAmount,CreatedAt
INV00050,ORD08315,CARD04772,482.06,24.93,457.13,2024-07-28
INV00051,ORD02803,CARD07280,481.34,15.08,466.26,2024-05-15
INV00052,ORD02243,CARD07886,99.05,22.83,76.22,2024-05-15
INV00053,ORD06644,CARD00703,495.43,24.48,470.95,2024-08-30
INV00054,ORD03381,CARD03095,296.57,0.81,295.76,2024-09-08
INV00055,ORD00884,CARD02972,93.85,10.93,82.92,2024-04-28
INV00056,ORD02781,CARD06761,204.57,35.0,169.57,2024-10-26
INV00057,ORD01864,CARD09009,95.76,4.45,91.31,2024-06-06
INV00058,ORD05785,CARD02782,186.24,44.4,141.84,2024-10-26
INV00059,ORD07656,CARD06950,461.7,25.54,436.16,2024-03-05
INV00060,ORD06175,CARD07796,185.52,13.57,171.95,2024-05-19
INV00061,ORD06506,CARD02348,370.84,15.7,355.14,2024-03-01
INV00062,ORD07164,CARD08711,483.84,18.21,465.63,2024-06-21
INV00063,ORD05454,CARD09329,439.65,49.05,390.6,2024-06-12
INV00064,ORD08684,CARD05141,371.6,38.79,332.81,2024-09-11
INV00065,ORD07614,CARD08408,398.1,31.73,366.37,2024-01-15
INV00066,ORD09125,CARD03017,185.42,35.91,149.51,2024-06-02
INV00067,ORD06082,CARD02025,55.08,9.39,45.69,2024-09-19
INV00068,ORD02469,CARD00440,63.18,4.89,58.29,2024-01-23
INV00069,ORD03957,CARD00237,232.09,34.58,197.51,2024-09-20
INV00070,ORD06690,CARD07833,310.82,36.42,274.4,2024-04-02
INV00071,ORD05127,CARD05790,315.33,17.7,297.63,2024-11-05
INV00072,ORD04254,CARD03836,309.62,21.24,288.38,2024-01-11
INV00073,ORD06126,CARD01569,270.69,38.91,231.78,2024-01-01
INV00074,ORD00349,CARD09447,142.14,35.51,106.63,2024-05-16
INV00075,ORD09490,CARD06819,324.34,41.59,282.75,2024-01-15
INV00076,ORD06655,CARD05101,439.81,46.23,393.58,2024-04-15
INV00077,ORD06952,CARD02708,174.45,1.37,173.08,2024-03-20
INV00078,ORD00101,CARD00699,411.48,27.65,383.83,2024-02-12
INV00079,ORD06202,CARD07908,304.98,14.59,290.39,2024-10-01
INV00080,ORD08922,CARD09171,170.7,27.36,143.34,2024-01-01
INV00081,ORD00152,CARD01870,104.91,16.34,88.57,2024-01-13
INV00082,ORD06248,CARD01096,368.33,33.16,335.17,2024-01-29
INV00083,ORD06283,CARD09497,220.17,25.63,194.54,2024-12-10
INV00084,ORD05857,CARD01898,403.09,39.63,363.46,2024-06-05
INV00085,ORD08368,CARD01057,265.14,28.95,236.19,2023-12-24
INV00086,ORD03705,CARD08622,291.34,24.35,266.99,2024-01-30
INV00087,ORD03274,CARD01021,402.55,15.44,387.11,2024-02-13
INV00088,ORD06235,CARD03700,439.9,43.71,396.19,2024-07-13
INV00089,ORD01961,CARD04927,431.71,26.39,405.32,2024-12-07
INV00090,ORD02131,CARD04604,250.35,17.44,232.91,2024-06-16
INV00091,ORD03097,CARD01980,141.51,17.12,124.39,2024-07-29
INV00092,ORD06014,CARD04553,124.93,10.92,114.01,2024-03-01
INV00093,ORD07590,CARD00357,254.39,46.23,208.16,2024-12-12
INV00094,ORD02578,CARD01560,211.13,23.7,187.43,2024-08-21
INV00095,ORD02549,CARD07940,358.67,30.26,328.41,2024-09-20
INV00096,ORD02629,CARD01349,101.18,11.23,89.95,2023-12-21
INV00097,ORD03401,CARD00800,250.53,48.8,201.73,2024-06-06
INV00098,ORD07227,CARD02639,272.23,39.59,232.64,2024-08-23
INV00099,ORD05772,CARD02968,73.72,4.31,69.41,2024-07-25
INV00100,ORD04669,CARD02914,218.35,29.85,188.5,2024-10-07
INV00101,ORD01129,CARD04109,457.38,19.12,438.26,2024-05-07
INV00102,ORD02429,CARD09641,222.89,0.08,222.81,2024-02-06
INV00103,ORD03193,CARD04036,59.82,5.59,54.23,2024-07-08
INV00104,ORD06905,CARD04944,93.91,24.5,69.41,2024-07-23
INV00105,ORD00147,CARD06841,348.6,47.36,301.24,2024-01-12
INV00106,ORD03539,CARD09231,473.66,31.82,441.84,2024-12-08
INV00107,ORD00639,CARD08222,367.15,6.7,360.45,2024-02-13
INV00108,ORD00676,CARD00019,210.68,22.14,188.54,2024-07-11
INV00109,ORD00134,CARD05270,343.29,20.84,322.45,2024-09-11
INV00110,ORD09382,CARD02678,274.39,25.72,248.67,2024-05-11
INV00111,ORD08243,CARD02094,419.7,43.25,376.45,2024-04-19
INV00112,ORD05921,CARD02058,359.58,22.46,337.12,2024-09-18
INV00113,ORD07678,CARD00697,338.63,3.68,334.95,2024-04-03
INV00114,ORD03568,CARD02941,211.07,47.56,163.51,2024-12-06
INV00115,ORD08569,CARD04376,438.01,26.43,411.58,2024-02-17
INV00116,ORD09729,CARD03574,191.74,6.28,185.46,2024-04-29
INV00117,ORD05086,CARD01521,429.84,22.08,407.76,2024-03-22
INV00118,ORD05177,CARD02344,149.34,34.49,114.85,2024-02-02
INV00119,ORD01256,CARD00973,347.68,7.28,340.4,2024-06-12
INV00120,ORD08584,CARD05993,94.24,38.34,55.9,2024-09-03
INV00121,ORD08971,CARD03429,230.85,22.64,208.21,2024-06-09
INV00122,ORD07655,CARD04167,411.82,14.25,397.57,2024-04-06
INV00123,ORD01971,CARD05703,229.28,2.14,227.14,2024-11-16
INV00124,ORD05746,CARD08766,300.68,25.99,274.69,2024-11-23
INV00125,ORD03724,CARD04352,312.78,32.32,280.46,2024-12-11
INV00126,ORD00189,CARD03668,157.08,43.59,113.49,2024-06-13
INV00127,ORD02642,CARD07951,357.18,36.41,320.77,2024-07-22
INV00128,ORD07347,CARD06881,247.72,19.52,228.2,2024-08-13
INV00129,ORD04304,CARD09780,390.74,0.53,390.21,2024-08-17
INV00130,ORD07578,CARD06593,152.22,16.22,136.0,2024-08-24
INV00131,ORD02870,CARD05983,356.3,37.89,318.41,2024-10-13
INV00132,ORD05799,CARD07587,493.53,22.31,471.22,2024-12-14
INV00133,ORD05149,CARD05574,287.84,12.14,275.7,2024-04-21
INV00134,ORD00786,CARD06487,498.99,0.53,498.46,2024-06-23
INV00135,ORD00058,CARD05279,207.05,14.45,192.6,2024-03-20
INV00136,ORD02647,CARD06103,111.79,31.84,79.95,2024-02-13
INV00137,ORD06667,CARD02996,191.52,36.43,155.09,2024-08-31
INV00138,ORD05444,CARD07633,72.53,21.62,50.91,2024-09-29
INV00139,ORD01040,CARD08358,221.97,37.11,184.86,2024-11-01
INV00140,ORD06176,CARD01901,200.37,8.56,191.81,2024-04-27
INV00141,ORD05729,CARD06251,244.82,20.29,224.53,2024-04-30
INV00142,ORD02755,CARD07355,202.34,41.47,160.87,2024-04-17
INV00143,ORD00080,CARD06249,246.89,32.6,214.29,2024-08-21
INV00144,ORD02953,CARD08373,464.0,31.5,432.5,2024-06-07
INV00145,ORD09169,CARD05419,454.0,4.83,449.17,2024-01-20
INV00146,ORD06976,CARD03746,81.42,6.91,74.51,2024-02-07
INV00147,ORD05565,CARD08861,484.3,21.12,463.18,2024-10-22
INV00148,ORD00153,CARD06159,267.87,2.28,265.59,2024-06-26
INV00149,ORD01544,CARD08531,200.86,37.76,163.1,2024-01-13
INV00150,ORD01199,CARD06312,308.64,49.16,259.48,2024-06-29
INV00151,ORD07161,CARD02132,377.85,17.33,360.52,2024-04-18
INV00152,ORD04072,CARD06118,266.66,34.68,231.98,2024-01-24
INV00153,ORD03514,CARD01835,76.7,48.55,28.15,2024-07-14
INV00154,ORD05526,CARD05950,120.48,49.32,71.16,2024-10-06
INV00155,ORD03221,CARD05186,299.37,3.85,295.52,2024-08-24
INV00156,ORD05189,CARD01612,208.63,45.46,163.17,2024-07-25
INV00157,ORD02487,CARD08579,318.36,46.68,271.68,2024-07-25
INV00158,ORD01426,CARD00557,435.26,4.82,430.44,2024-11-19
INV00159,ORD04081,CARD06968,259.13,4.45,254.68,2024-05-06
INV00160,ORD01486,CARD06395,143.07,41.62,101.45,2024-09-06
INV00161,ORD07091,CARD08868,93.88,49.37,44.51,2024-11-04
INV00162,ORD09054,CARD08161,399.32,11.42,387.9,2024-06-18
INV00163,ORD09748,CARD05256,347.77,34.89,312.88,2024-03-25
INV00164,ORD04952,CARD02779,270.7,5.82,264.88,2024-09-29
INV00165,ORD00652,CARD01208,101.85,3.27,98.58,2024-03-22
INV00166,ORD01417,CARD02602,279.32,16.17,263.15,2024-02-26
INV00167,ORD03437,CARD04985,170.98,20.98,150.0,2024-01-30
INV00168,ORD00429,CARD06311,225.94,5.46,220.48,2024-05-19
INV00169,ORD05563,CARD03201,435.17,20.57,414.6,2024-03-04
INV00170,ORD02386,CARD04014,332.24,47.21,285.03,2024-04-28
INV00171,ORD09106,CARD03826,182.38,10.13,172.25,2024-03-15
INV00172,ORD00095,CARD01187,67.58,40.86,26.72,2024-06-26
INV00173,ORD00223,CARD01044,389.62,24.19,365.43,2024-03-30
INV00174,ORD02130,CARD07567,484.83,40.86,443.97,2024-03-18
INV00175,ORD06185,CARD07556,418.51,12.71,405.8,2024-08-16
INV00176,ORD03729,CARD08575,439.99,13.92,426.07,2024-02-16
INV00177,ORD01067,CARD01727,283.17,22.97,260.2,2024-04-01
INV00178,ORD06251,CARD02530,355.18,44.87,310.31,2024-10-18
INV00179,ORD04907,CARD07176,219.56,46.38,173.18,2024-12-06
INV00180,ORD04981,CARD02228,269.71,8.37,261.34,2024-11-02
INV00181,ORD01357,CARD01685,71.66,47.18,24.48,2024-07-09
INV00182,ORD07647,CARD02801,395.5,37.93,357.57,2024-02-13
INV00183,ORD07779,CARD09722,272.51,21.14,251.37,2024-07-01
INV00184,ORD06893,CARD07832,445.25,21.37,423.88,2024-09-19
INV00185,ORD01306,CARD00633,392.75,5.28,387.47,2024-04-08
INV00186,ORD03077,CARD04039,199.25,20.43,178.82,2024-03-14
INV00187,ORD02905,CARD00036,490.07,47.03,443.04,2024-08-09
INV00188,ORD02212,CARD02743,66.15,31.39,34.76,2024-03-04
INV00189,ORD06670,CARD00283,326.21,10.97,315.24,2024-09-24
INV00190,ORD05478,CARD01107,445.95,19.05,426.9,2024-12-13
INV00191,ORD08713,CARD08467,163.68,26.71,136.97,2024-04-04
INV00192,ORD05862,CARD04054,85.19,16.48,68.71,2024-03-02
INV00193,ORD03085,CARD06440,204.67,2.57,202.1,2024-05-21
INV00194,ORD08604,CARD05750,234.45,42.07,192.38,2023-12-29
INV00195,ORD04247,CARD01295,248.52,6.56,241.96,2024-06-28
INV00196,ORD02570,CARD01898,380.97,6.5,374.47,2024-05-09
INV00197,ORD05060,CARD09667,497.21,10.95,486.26,2024-10-29
INV00198,ORD05047,CARD01597,384.25,7.29,376.96,2024-09-08
INV00199,ORD08644,CARD08510,248.39,9.43,238.96,2024-08-05
INV00200,ORD04606,CARD00166,354.81,25.22,329.59,2024-03-10
INV00201,ORD00884,CARD03822,356.13,10.19,345.94,2024-12-09
INV00202,ORD03897,CARD04051,133.91,17.63,116.28,2024-12-04
INV00203,ORD09155,CARD03368,398.21,43.14,355.07,2024-02-25
INV00204,ORD02771,CARD05810,377.0,19.48,357.52,2024-07-26
INV00205,ORD01510,CARD02675,415.71,22.82,392.89,2024-04-28
INV00206,ORD05551,CARD08918,211.17,40.29,170.88,2024-05-16
INV00207,ORD03504,CARD09689,166.61,2.0,164.61,2024-07-31
INV00208,ORD07092,CARD03225,135.67,9.59,126.08,2023-12-24
INV00209,ORD00623,CARD05137,275.5,4.56,270.94,2024-05-15
INV00210,ORD01849,CARD07323,416.68,49.31,367.37,2024-01-21
INV00211,ORD07200,CARD08274,340.23,24.13,316.1,2024-11-17
INV00212,ORD07598,CARD03371,259.79,14.91,244.88,2024-04-01
INV00213,ORD02574,CARD09818,391.31,21.87,369.44,2024-04-04
INV00214,ORD03946,CARD03045,272.49,44.79,227.7,2024-04-26
INV00215,ORD05648,CARD08786,342.19,47.51,294.68,2024-03-20
INV00216,ORD07777,CARD08245,254.06,23.5,230.56,2024-02-23
INV00217,ORD04638,CARD03793,416.2,45.44,370.76,2024-11-25
INV00218,ORD03414,CARD09000,76.7,24.84,51.86,2024-07-21
INV00219,ORD02988,CARD06283,142.76,36.81,105.95,2024-02-05
INV00220,ORD09184,CARD02799,157.74,35.95,121.79,2024-09-05
INV00221,ORD05613,CARD06855,234.69,3.9,230.79,2024-03-02
INV00222,ORD00705,CARD05044,210.65,3.38,207.27,2024-06-12
INV00223,ORD08011,CARD09661,75.93,40.18,35.75,2024-07-10
INV00224,ORD03412,CARD01255,198.27,20.0,178.27,2024-09-21
INV00225,ORD04426,CARD01387,359.17,29.7,329.47,2024-11-17
INV00226,ORD02587,CARD03722,121.2,43.95,77.25,2024-11-23
INV00227,ORD02875,CARD04192,109.37,26.01,83.36,2024-06-18
INV00228,ORD02501,CARD02568,410.09,2.47,407.62,2023-12-18
INV00229,ORD02784,CARD06771,79.26,0.21,79.05,2024-07-22
INV00230,ORD04952,CARD05234,89.3,14.22,75.08,2024-04-16
INV00231,ORD09800,CARD01429,216.72,18.57,198.15,2023-12-29
INV00232,ORD05221,CARD08018,329.73,34.12,295.61,2024-09-10
INV00233,ORD05789,CARD05007,217.04,49.66,167.38,2023-12-20
INV00234,ORD01184,CARD00724,326.26,31.15,295.11,2024-01-26
INV00235,ORD02928,CARD00710,202.65,36.44,166.21,2023-12-18
INV00236,ORD07199,CARD01092,102.56,44.0,58.56,2024-05-15
INV00237,ORD09128,CARD01447,213.76,35.43,178.33,2023-12-29
INV00238,ORD05835,CARD03392,417.29,32.6,384.69,2024-02-14
INV00239,ORD07403,CARD00763,496.96,46.75,450.21,2024-07-25
INV00240,ORD07484,CARD07882,253.27,2.99,250.28,2024-07-30
INV00241,ORD07168,CARD09864,288.77,45.36,243.41,2024-02-29
INV00242,ORD04362,CARD05786,305.51,1.78,303.73,2024-04-17
INV00243,ORD02162,CARD05687,458.23,35.55,422.68,2024-10-30
INV00244,ORD02360,CARD02638,53.52,41.84,11.68,2024-12-15
INV00245,ORD05984,CARD01582,300.63,38.28,262.35,2024-03-11
INV00246,ORD05753,CARD04815,367.21,48.6,318.61,2024-03-20
INV00247,ORD05505,CARD09953,277.08,21.39,255.69,2023-12-22
INV00248,ORD09297,CARD01777,368.51,5.04,363.47,2023-12-26
INV00249,ORD02927,CARD06411,204.76,27.72,177.04,2024-08-20
INV00250,ORD03003,CARD09507,423.16,9.9,413.26,2024-12-09
INV00251,ORD01447,CARD00369,494.63,32.45,462.18,2024-08-02
INV00252,ORD08847,CARD00417,162.39,26.15,136.24,2024-03-21
INV00253,ORD05797,CARD06150,453.89,46.95,406.94,2024-07-27
INV00254,ORD01468,CARD05492,95.7,20.1,75.6,2023-12-27
INV00255,ORD02019,CARD01494,115.1,45.99,69.11,2024-07-06
INV00256,ORD01881,CARD02940,218.29,5.47,212.82,2024-02-25
INV00257,ORD06425,CARD01968,52.1,0.89,51.21,2024-07-30
INV00258,ORD04544,CARD08100,435.17,22.95,412.22,2024-09-23
INV00259,ORD09453,CARD02666,257.73,48.43,209.3,2024-07-08
INV00260,ORD09891,CARD03172,453.61,31.51,422.1,2024-03-12
INV00261,ORD02995,CARD07798,201.98,22.41,179.57,2024-06-08
INV00262,ORD00336,CARD00550,248.5,25.59,222.91,2024-09-03
INV00263,ORD05170,CARD02880,326.61,12.75,313.86,2024-05-24
INV00264,ORD03905,CARD09679,483.13,41.19,441.94,2024-07-31
INV00265,ORD04864,CARD00641,267.38,11.46,255.92,2024-04-15
INV00266,ORD00315,CARD08756,199.79,26.77,173.02,2024-07-02
INV00267,ORD05021,CARD05502,299.97,10.56,289.41,2024-05-11
INV00268,ORD09973,CARD01573,319.42,36.24,283.18,2024-10-30
INV00269,ORD05480,CARD06352,81.47,11.72,69.75,2024-07-07
INV00270,ORD08286,CARD01386,82.48,44.88,37.6,2024-02-25
INV00271,ORD02542,CARD05941,265.18,28.4,236.78,2024-02-21
INV00272,ORD05473,CARD08360,170.08,45.73,124.35,2024-01-02
INV00273,ORD02757,CARD04172,124.27,6.24,118.03,2024-11-10
INV00274,ORD06328,CARD02926,469.91,19.27,450.64,2024-08-05
INV00275,ORD09240,CARD00171,205.65,1.1,204.55,2024-10-28
INV00276,ORD08197,CARD03144,101.2,16.73,84.47,2024-04-15
INV00277,ORD04774,CARD05795,472.42,20.53,451.89,2024-01-27
INV00278,ORD01461,CARD02411,197.9,25.74,172.16,2024-01-11
INV00279,ORD09030,CARD06528,260.01,43.59,216.42,2024-10-01
INV00280,ORD00294,CARD06771,477.33,40.81,436.52,2024-02-15
INV00281,ORD04211,CARD05551,241.08,40.79,200.29,2024-03-09
INV00282,ORD07634,CARD04741,324.42,2.87,321.55,2024-04-07
INV00283,ORD09988,CARD08556,403.75,22.94,380.81,2024-04-15
INV00284,ORD00816,CARD05695,304.98,14.08,290.9,2024-12-14
INV00285,ORD05651,CARD07124,459.09,12.44,446.65,2024-09-12
INV00286,ORD09134,CARD08727,252.94,44.78,208.16,2024-08-07
INV00287,ORD04914,CARD03574,255.39,34.62,220.77,2024-04-22
INV00288,ORD03457,CARD02616,494.67,44.42,450.25,2024-08-30
INV00289,ORD03157,CARD04261,432.62,6.17,426.45,2024-01-02
INV00290,ORD00449,CARD06691,282.08,13.49,268.59,2024-09-23
INV00291,ORD03277,CARD06454,195.11,3.02,192.09,2024-11-14
INV00292,ORD04273,CARD08352,382.68,36.24,346.44,2024-08-13
INV00293,ORD08518,CARD07685,112.1,26.32,85.78,2024-07-02
INV00294,ORD07026,CARD05167,350.91,37.74,313.17,2024-09-12
INV00295,ORD09261,CARD09394,87.42,43.61,43.81,2024-01-06
INV00296,ORD06348,CARD04206,236.65,0.08,236.57,2024-12-14
INV00297,ORD02328,CARD07879,157.91,46.95,110.96,2024-08-13
INV00298,ORD02923,CARD06150,316.12,28.96,287.16,2024-06-14
INV00299,ORD00249,CARD01347,466.46,29.92,436.54,2024-04-25
INV00300,ORD09911,CARD07875,462.7,4.55,458.15,2024-06-13
INV00301,ORD05653,CARD02023,409.01,22.63,386.38,2024-08-02
INV00302,ORD00046,CARD09529,201.25,46.17,155.08,2024-12-05
INV00303,ORD09615,CARD02103,276.71,17.14,259.57,2024-10-29
INV00304,ORD02029,CARD09824,360.94,47.4,313.54,2024-04-03
INV00305,ORD08117,CARD03975,374.01,32.5,341.51,2024-03-18
INV00306,ORD06265,CARD08249,138.85,44.32,94.53,2024-12-07
INV00307,ORD05156,CARD09627,59.01,36.1,22.91,2024-06-23
INV00308,ORD02192,CARD07638,233.47,44.59,188.88,2024-06-17
INV00309,ORD01968,CARD08471,293.94,7.65,286.29,2024-01-27
INV00310,ORD07845,CARD01058,300.58,31.75,268.83,2024-11-12
INV00311,ORD08691,CARD01156,118.07,6.79,111.28,2023-12-29
INV00312,ORD04664,CARD02517,255.48,20.33,235.15,2024-04-26
INV00313,ORD03547,CARD06616,486.96,17.63,469.33,2024-06-23
INV00314,ORD06410,CARD01504,156.06,42.1,113.96,2024-02-09
INV00315,ORD07292,CARD04374,213.53,48.37,165.16,2024-10-09
INV00316,ORD06340,CARD01798,387.1,29.28,357.82,2024-02-18
INV00317,ORD00944,CARD01706,297.84,1.84,296.0,2024-04-02
INV00318,ORD06743,CARD04942,329.61,4.6,325.01,2024-04-06
INV00319,ORD08450,CARD02998,193.86,22.71,171.15,2024-08-23
INV00320,ORD08298,CARD06463,245.4,41.28,204.12,2024-11-28
INV00321,ORD00389,CARD01157,438.58,0.76,437.82,2024-07-30
INV00322,ORD05099,CARD03123,480.48,6.71,473.77,2024-09-01
INV00323,ORD09887,CARD06070,61.94,45.12,16.82,2024-05-12
INV00324,ORD05283,CARD02631,405.05,0.0,405.05,2024-05-31
INV00325,ORD03755,CARD03131,351.81,22.36,329.45,2024-04-08
INV00326,ORD00818,CARD02507,266.76,22.4,244.36,2024-10-03
INV00327,ORD03262,CARD05048,369.73,28.44,341.29,2024-02-03
INV00328,ORD09218,CARD08235,331.51,7.44,324.07,2024-09-10
INV00329,ORD00539,CARD03597,185.76,14.94,170.82,2024-11-02
INV00330,ORD07574,CARD01570,445.89,19.57,426.32,2024-09-12
INV00331,ORD03897,CARD00249,389.26,13.76,375.5,2024-04-11
INV00332,ORD00425,CARD01917,133.55,8.11,125.44,2024-01-24
INV00333,ORD03983,CARD01698,436.64,42.86,393.78,2024-10-29
INV00334,ORD04766,CARD03590,292.62,44.04,248.58,2024-05-14
INV00335,ORD02787,CARD02764,69.81,2.31,67.5,2024-10-13
INV00336,ORD09394,CARD05310,246.52,9.64,236.88,2023-12-31
INV00337,ORD02231,CARD02882,253.25,16.29,236.96,2024-05-21
INV00338,ORD06536,CARD09965,163.82,37.13,126.69,2024-01-21
INV00339,ORD04630,CARD07201,70.72,13.97,56.75,2024-10-27
INV00340,ORD01526,CARD09771,292.35,37.65,254.7,2024-07-02
INV00341,ORD08865,CARD02460,365.84,10.85,354.99,2024-06-05
INV00342,ORD01891,CARD06039,187.5,14.45,173.05,2024-03-02
INV00343,ORD01657,CARD09016,279.59,27.94,251.65,2024-05-25
INV00344,ORD09417,CARD06073,53.76,10.43,43.33,2024-04-23
INV00345,ORD01157,CARD09598,425.61,4.54,421.07,2024-03-06
INV00346,ORD03550,CARD00949,471.66,41.79,429.87,2024-10-06
INV00347,ORD06459,CARD09774,404.24,26.4,377.84,2024-06-19
INV00348,ORD08680,CARD09522,452.54,10.99,441.55,2024-09-14
INV00349,ORD06204,CARD06488,195.76,0.34,195.42,2024-01-25
INV00350,ORD08248,CARD09695,475.16,20.91,454.25,2024-06-05
INV00351,ORD04834,CARD07821,138.85,45.51,93.34,2024-05-13
INV00352,ORD05483,CARD00009,81.89,5.8,76.09,2024-02-27
INV00353,ORD04720,CARD04636,276.66,32.58,244.08,2024-06-04
INV00354,ORD06690,CARD05695,125.35,9.52,115.83,2024-10-07
INV00355,ORD07721,CARD03275,115.97,31.55,84.42,2023-12-26
INV00356,ORD07709,CARD00769,129.58,44.36,85.22,2024-08-06
INV00357,ORD08641,CARD08695,174.99,26.11,148.88,2024-09-15
INV00358,ORD01223,CARD08990,417.95,3.44,414.51,2024-03-08
INV00359,ORD09611,CARD09645,349.3,18.69,330.61,2024-06-08
INV00360,ORD05291,CARD04364,304.21,0.16,304.05,2024-06-08
INV00361,ORD02934,CARD00359,175.33,15.32,160.01,2024-02-09
INV00362,ORD00766,CARD03740,75.31,2.33,72.98,2024-09-17
INV00363,ORD03640,CARD09143,230.08,0.51,229.57,2024-06-12
INV00364,ORD02829,CARD05542,346.13,6.87,339.26,2023-12-31
INV00365,ORD00651,CARD08008,336.48,27.24,309.24,2024-07-05
INV00366,ORD08144,CARD01306,256.8,46.1,210.7,2024-10-23
INV00367,ORD06540,CARD06160,300.43,29.87,270.56,2024-12-03
INV00368,ORD03938,CARD07346,276.73,21.84,254.89,2024-04-16
INV00369,ORD04639,CARD05993,251.67,45.22,206.45,2024-07-05
INV00370,ORD08247,CARD04738,412.39,24.72,387.67,2024-02-29
INV00371,ORD06564,CARD09239,126.47,0.5,125.97,2024-08-04
INV00372,ORD08953,CARD09807,311.67,15.35,296.32,2024-12-05
INV00373,ORD04128,CARD00503,499.86,2.59,497.27,2024-06-23
INV00374,ORD05260,CARD05035,283.23,40.49,242.74,2024-03-19
INV00375,ORD07155,CARD07986,225.04,18.75,206.29,2023-12-22
INV00376,ORD00540,CARD00823,294.38,13.09,281.29,2024-01-02
INV00377,ORD02734,CARD02828,59.31,21.86,37.45,2024-07-19
INV00378,ORD03333,CARD00875,432.79,41.34,391.45,2024-05-11
INV00379,ORD01287,CARD07367,61.64,28.66,32.98,2024-02-10
INV00380,ORD06981,CARD04859,469.11,7.1,462.01,2024-02-20
INV00381,ORD00547,CARD07614,289.2,27.13,262.07,2024-11-23
INV00382,ORD03960,CARD04163,479.97,28.17,451.8,2024-11-25
INV00383,ORD08110,CARD08813,174.27,27.22,147.05,2024-02-01
INV00384,ORD01605,CARD08142,474.39,28.12,446.27,2023-12-29
INV00385,ORD04828,CARD09583,459.98,40.82,419.16,2024-01-09
INV00386,ORD07614,CARD07272,356.51,24.79,331.72,2024-06-20
