HistoryID,StaffID,BranchID,StartDate,EndDate
94,ST04102,BR09087,2024-03-06,2024-06-19
95,ST02891,BR02210,2022-03-02,2022-05-08
96,ST07503,BR09370,2024-10-03,
97,ST02083,BR02860,2020-10-17,
98,ST07714,BR05498,2023-11-15,
99,ST01281,BR09374,2020-01-02,2020-02-01
100,ST09667,BR04247,2023-11-13,2024-02-02
101,ST04330,BR01519,2020-01-07,
102,ST03598,BR04800,2020-08-17,
103,ST02763,BR04182,2022-11-05,
104,ST05754,BR02295,2020-04-04,2020-11-09
105,ST01396,BR07595,2021-06-27,2021-10-03
106,ST00169,BR04081,2020-06-29,2020-10-30
107,ST08422,BR01563,2023-08-25,2024-06-10
108,ST02079,BR02593,2023-11-05,
109,ST05685,BR09674,2021-07-30,2022-05-10
110,ST07789,BR05459,2020-11-06,2021-03-19
111,ST00441,BR07905,2024-03-28,
112,ST08720,BR04227,2020-05-21,
113,ST00216,BR08737,2020-08-13,
114,ST02240,BR04450,2022-06-14,2022-10-22
115,ST05076,BR08401,2021-01-16,
116,ST07701,BR04564,2022-04-25,
117,ST04089,BR06153,2022-01-25,
118,ST01902,BR07798,2024-11-15,
119,ST08808,BR02533,2020-03-21,
120,ST03285,BR08538,2024-09-26,
121,ST00981,BR03954,2024-07-22,2024-10-11
122,ST06897,BR07004,2021-06-05,
123,ST09684,BR06489,2021-03-29,2021-05-17
124,ST02483,BR05913,2021-10-05,
125,ST07156,BR05666,2022-12-16,
126,ST01065,BR05751,2021-05-26,
127,ST04762,BR07344,2022-04-16,2023-02-11
128,ST08786,BR01706,2023-12-03,2024-02-18
129,ST03957,BR07450,2022-05-26,
130,ST03101,BR02166,2021-08-12,
131,ST02499,BR08614,2020-02-02,2020-03-04
132,ST01214,BR05068,2022-07-28,
133,ST00068,BR05208,2023-08-17,2023-09-10
134,ST00399,BR04744,2023-08-13,
135,ST03396,BR04058,2020-01-18,
136,ST01263,BR00355,2023-08-05,2024-06-17
137,ST04348,BR02538,2021-12-12,
138,ST07857,BR05088,2023-11-08,
139,ST04966,BR06018,2020-01-27,2020-09-29
140,ST02131,BR01029,2023-10-20,
141,ST04519,BR05586,2023-05-23,2023-11-15
142,ST02719,BR01502,2023-03-17,2023-05-15
143,ST03999,BR07010,2020-03-31,2020-10-22
144,ST09495,BR04715,2024-03-21,2024-05-13
145,ST03030,BR04572,2021-09-12,2021-10-02
146,ST01015,BR07075,2022-02-14,
147,ST05407,BR05326,2020-11-18,
148,ST02980,BR03717,2020-01-05,2020-05-12
149,ST00334,BR03045,2024-06-25,
150,ST09187,BR05988,2022-10-06,
151,ST05324,BR07855,2021-09-11,
152,ST00481,BR09078,2022-05-01,2023-04-28
153,ST00214,BR05706,2024-10-20,2025-03-06
154,ST04287,BR08316,2020-02-01,2020-06-08
155,ST07271,BR03281,2020-12-24,
156,ST01005,BR09680,2022-06-29,2022-11-29
157,ST05103,BR02944,2020-03-31,2020-11-05
158,ST05226,BR06020,2023-03-26,2023-09-28
159,ST07496,BR06518,2024-01-19,
160,ST04281,BR05313,2023-01-31,
161,ST02281,BR03537,2023-03-24,2023-04-10
162,ST03398,BR01927,2023-12-28,2024-04-23
163,ST05667,BR00436,2020-01-23,
164,ST04999,BR04725,2021-10-13,2022-05-16
165,ST01631,BR07787,2021-09-28,
166,ST00208,BR07199,2022-05-08,2022-08-26
167,ST03394,BR03776,2020-08-16,2021-08-13
168,ST02309,BR01802,2022-08-31,2023-03-26
169,ST09544,BR09016,2024-03-01,2024-12-26
170,ST01280,BR07978,2022-03-12,
171,ST03403,BR06943,2020-07-09,2020-12-27
172,ST06772,BR04727,2020-12-02,
173,ST02211,BR01446,2024-08-13,2024-08-13
174,ST08549,BR02284,2020-07-26,
175,ST02419,BR06175,2024-01-30,
176,ST07810,BR00058,2024-01-24,2024-11-06
177,ST08044,BR07087,2021-04-16,
178,ST06680,BR05885,2022-04-11,2022-10-16
179,ST07399,BR00791,2024-06-21,2025-06-09
180,ST02948,BR02442,2024-10-24,
181,ST08403,BR00244,2024-09-24,2025-02-26
182,ST01198,BR07178,2024-07-21,2024-12-29
183,ST01884,BR02327,2021-06-02,
184,ST05932,BR05157,2020-01-04,
185,ST06688,BR08132,2021-02-17,2021-07-13
186,ST08450,BR05644,2022-05-14,2022-11-27
187,ST05187,BR08098,2024-04-08,
188,ST07591,BR05094,2021-07-06,
189,ST06315,BR03835,2023-05-14,
190,ST08328,BR04674,2024-10-09,2025-03-28
191,ST00198,BR05813,2024-01-30,2024-08-05
192,ST07757,BR07993,2024-04-26,
193,ST08796,BR08175,2021-12-27,2022-02-05
194,ST05233,BR02080,2020-04-07,
195,ST06609,BR04743,2021-11-24,2022-08-23
196,ST08220,BR08889,2020-11-15,2021-11-04
197,ST05983,BR02674,2024-08-06,2025-06-21
198,ST08277,BR05610,2022-05-02,2023-01-11
199,ST07982,BR01156,2020-12-11,
200,ST07168,BR00512,2020-08-18,2020-11-04
201,ST01422,BR09023,2021-02-19,2021-09-15
202,ST00178,BR08663,2020-08-18,2021-03-16
203,ST03129,BR06105,2020-11-02,2021-05-30
204,ST08164,BR02925,2021-08-10,
205,ST03081,BR05719,2023-04-13,
206,ST04119,BR01369,2022-07-15,2023-03-05
207,ST07861,BR01457,2022-07-03,
208,ST02230,BR03929,2022-06-05,
209,ST08231,BR00280,2020-08-15,
210,ST08860,BR04851,2024-03-23,
211,ST00724,BR03648,2020-03-26,
212,ST06227,BR02192,2024-10-07,2025-07-16
213,ST04860,BR08220,2022-08-06,
214,ST02636,BR00062,2020-01-30,2020-05-13
215,ST05235,BR06750,2023-06-06,2023-10-19
216,ST04761,BR07491,2023-11-02,
217,ST03419,BR03567,2020-08-03,2020-10-21
218,ST00938,BR07635,2020-02-22,2020-09-17
219,ST03834,BR00977,2021-03-20,
220,ST09354,BR01800,2020-08-09,2021-03-17
221,ST05895,BR03814,2023-12-21,2024-10-04
222,ST05729,BR07897,2020-01-24,
223,ST04199,BR04938,2021-10-27,2022-04-28
224,ST01779,BR02443,2020-08-14,2021-06-04
225,ST03321,BR06928,2020-04-27,
226,ST07529,BR04850,2022-08-06,2022-11-30
227,ST01207,BR02181,2023-08-27,
228,ST03721,BR03985,2024-06-24,
229,ST04983,BR02288,2023-09-10,2024-04-07
230,ST07914,BR06014,2020-07-25,2021-06-23
231,ST09871,BR09847,2024-12-01,
232,ST07496,BR06883,2024-09-03,2024-09-27
233,ST04051,BR07398,2024-10-18,2025-03-23
234,ST03673,BR03068,2024-03-04,2024-11-11
235,ST02753,BR06396,2021-05-19,2022-03-26
236,ST08039,BR00823,2021-01-21,
237,ST00407,BR04365,2020-06-24,2020-08-11
238,ST06855,BR00170,2020-09-19,2020-11-05
239,ST07992,BR04367,2023-05-07,
240,ST03358,BR01904,2022-06-08,2022-12-08
241,ST05356,BR09117,2021-09-20,
242,ST01091,BR00242,2021-03-16,
243,ST03342,BR08169,2024-01-24,2024-08-22
244,ST05322,BR03399,2023-09-02,2024-05-19
245,ST06018,BR09074,2020-11-13,2021-03-10
246,ST06971,BR06443,2022-11-13,2023-02-24
247,ST09092,BR03590,2023-04-14,2023-07-18
248,ST00445,BR00894,2023-09-15,
249,ST05962,BR08170,2021-08-21,
250,ST09788,BR08539,2024-08-02,
251,ST09509,BR02735,2021-09-04,2022-08-01
252,ST07687,BR06705,2020-01-01,2020-06-27
253,ST09502,BR00449,2020-11-19,
254,ST05456,BR00880,2023-02-25,2023-11-05
255,ST02757,BR06224,2020-02-19,
256,ST05740,BR00468,2020-01-27,
257,ST04120,BR03271,2021-08-03,
258,ST05599,BR08326,2023-12-23,2024-04-08
259,ST04066,BR07868,2020-01-09,2021-01-03
260,ST08224,BR01792,2024-04-09,2024-12-29
261,ST07960,BR06273,2024-09-21,
262,ST06974,BR09663,2024-04-27,
263,ST08562,BR06116,2021-03-07,
264,ST04794,BR06417,2024-08-24,2024-11-11
265,ST05767,BR02892,2021-10-19,
266,ST09779,BR02862,2021-08-31,2021-12-22
267,ST00830,BR03962,2023-07-03,2023-11-19
268,ST01498,BR06366,2024-08-02,2024-10-23
269,ST04832,BR03758,2021-03-04,2021-09-27
270,ST08893,BR00407,2024-02-06,2025-01-14
271,ST02835,BR00659,2023-01-19,
272,ST02015,BR00473,2023-05-23,2023-07-08
273,ST05504,BR04808,2023-12-21,2024-11-30
274,ST03172,BR07394,2024-04-22,2025-02-05
275,ST07992,BR08809,2020-11-09,
276,ST04377,BR00547,2023-04-10,2023-12-10
277,ST05519,BR08719,2024-01-05,2024-07-24
278,ST08199,BR04871,2021-11-16,
279,ST03041,BR00888,2020-12-10,
280,ST06905,BR00742,2022-04-13,2023-03-31
281,ST06556,BR02913,2021-09-18,
282,ST01699,BR02051,2021-07-20,
283,ST02437,BR08543,2022-01-28,2022-08-12
284,ST08598,BR07947,2021-03-30,
285,ST05436,BR00784,2021-02-23,2021-03-14
286,ST03523,BR08133,2022-09-15,2022-11-10
287,ST01313,BR08025,2021-03-25,
288,ST01083,BR07674,2021-04-26,2021-12-20
289,ST09308,BR05919,2022-07-01,2023-01-14
290,ST08799,BR04552,2024-07-28,
291,ST03621,BR01292,2023-09-08,
292,ST05298,BR08525,2020-07-24,
293,ST05756,BR09458,2022-04-08,2022-12-01
294,ST07248,BR03098,2023-08-24,2024-04-20
295,ST09731,BR08818,2023-12-13,
296,ST08443,BR02183,2020-01-29,2020-09-12
297,ST02376,BR09543,2022-02-05,2022-12-17
298,ST07410,BR08201,2022-04-24,
299,ST02591,BR08119,2020-11-02,
300,ST03319,BR04796,2022-12-15,
301,ST04249,BR08798,2024-02-11,2024-05-10
302,ST09515,BR01295,2021-03-14,
303,ST05798,BR03345,2024-05-29,2024-08-08
304,ST00717,BR06482,2024-04-28,2024-09-05
305,ST09038,BR07951,2023-02-18,2023-03-27
306,ST00838,BR09020,2021-02-28,2022-01-24
307,ST07510,BR04505,2024-06-19,2024-10-17
308,ST00716,BR03444,2020-11-15,2020-12-06
309,ST09140,BR00171,2021-09-11,
310,ST09626,BR05657,2023-02-15,2024-01-03
311,ST09871,BR00470,2020-03-02,
312,ST00881,BR07692,2021-01-09,
313,ST09050,BR04571,2024-07-11,2025-04-28
314,ST09920,BR02515,2021-01-18,2021-12-17
315,ST00391,BR06764,2020-04-14,2020-08-14
316,ST03958,BR04624,2021-12-11,2021-12-20
317,ST07400,BR05353,2022-01-22,
318,ST09703,BR03872,2021-01-26,
319,ST06266,BR07700,2021-04-24,2021-10-14
320,ST01245,BR04313,2020-07-13,2021-02-21
321,ST02444,BR07738,2023-08-15,2023-12-13
322,ST04231,BR01691,2021-11-04,
323,ST08134,BR03912,2022-06-28,
324,ST07320,BR06090,2022-06-27,
325,ST04873,BR09225,2023-10-19,2024-01-17
326,ST07419,BR05798,2020-05-18,
327,ST07005,BR04414,2023-12-05,
328,ST01104,BR04130,2024-10-06,2025-01-19
329,ST07709,BR02387,2021-02-28,
330,ST00200,BR01459,2024-11-27,2024-12-19
331,ST02726,BR05463,2021-02-23,
332,ST07608,BR09519,2020-08-19,2020-09-06
333,ST03992,BR09647,2024-03-20,2024-10-07
334,ST09107,BR00738,2022-09-17,2023-03-08
335,ST04788,BR07863,2023-01-21,
336,ST02258,BR02678,2021-10-18,
337,ST00254,BR01658,2024-11-13,
338,ST03439,BR00097,2023-09-17,2024-03-14
339,ST09585,BR02362,2024-06-28,2024-08-30
340,ST01428,BR01268,2021-04-19,
341,ST04033,BR04116,2024-10-01,
342,ST04036,BR06475,2021-10-08,
343,ST01348,BR09540,2020-11-24,2020-12-07
344,ST09593,BR01509,2021-09-24,2022-09-08
345,ST00588,BR04402,2022-08-22,2023-01-30
346,ST00561,BR08256,2022-06-09,2023-02-04
347,ST02386,BR06357,2022-01-27,2022-10-25
348,ST03736,BR02254,2022-04-28,
349,ST07339,BR08611,2023-01-02,2023-01-27
350,ST07348,BR02373,2023-11-19,
351,ST07431,BR00451,2024-01-31,2025-01-02
352,ST08807,BR05973,2020-09-04,
353,ST04116,BR06218,2021-08-15,2021-10-12
354,ST03053,BR02740,2023-07-03,2024-04-01
355,ST01871,BR06222,2020-03-03,
356,ST04828,BR00522,2023-11-09,2024-07-08
357,ST02238,BR09137,2020-05-09,
358,ST03302,BR05250,2020-07-24,
359,ST05831,BR06993,2022-12-25,
360,ST01964,BR06498,2020-03-02,
361,ST07437,BR00745,2024-07-07,2025-05-16
362,ST06550,BR04964,2023-11-24,
363,ST04717,BR07308,2024-08-17,
364,ST01579,BR06027,2021-12-16,2022-03-21
365,ST03757,BR05274,2020-07-30,
366,ST03036,BR05295,2021-09-02,2022-08-23
367,ST03327,BR00878,2023-07-05,
368,ST04937,BR04730,2020-06-03,
369,ST07918,BR06965,2023-08-17,
370,ST04965,BR03913,2021-04-06,
371,ST01372,BR06844,2024-06-13,
372,ST09207,BR03441,2021-05-31,
373,ST03433,BR02076,2024-11-06,
374,ST03886,BR08116,2024-05-27,
375,ST04685,BR07219,2021-11-17,2022-11-11
376,ST07102,BR04564,2021-05-17,
377,ST08987,BR01091,2022-11-28,
378,ST07292,BR06205,2020-08-24,
379,ST09878,BR07925,2020-01-22,
380,ST01920,BR01296,2024-01-13,
381,ST01549,BR01377,2022-05-13,2022-11-06
382,ST09338,BR09146,2020-03-28,2020-04-06
383,ST07707,BR05040,2024-11-08,2025-03-18
384,ST07577,BR00219,2021-09-15,
385,ST08257,BR06736,2023-03-13,
386,ST09240,BR04860,2020-05-14,
387,ST03987,BR04910,2023-08-05,2023-10-14
388,ST00909,BR03152,2024-03-15,2024-06-01
389,ST06960,BR00736,2023-01-09,2023-01-15
390,ST06364,BR03696,2022-02-08,2022-08-11
391,ST08695,BR02108,2023-03-29,2023-06-25
392,ST05984,BR09661,2022-02-14,
393,ST01413,BR03501,2023-07-12,2023-12-11
394,ST08462,BR00199,2020-10-07,
395,ST01630,BR05354,2022-02-13,
396,ST03952,BR07948,2024-01-29,2024-03-29
397,ST02763,BR07171,2020-10-10,
398,ST02476,BR08081,2020-01-07,
399,ST04766,BR03482,2021-02-03,2021-07-26
400,ST00634,BR00760,2021-08-04,2022-06-06
401,ST07537,BR07609,2020-04-21,2020-11-13
402,ST07801,BR07783,2024-01-16,
403,ST07186,BR06131,2022-04-13,2022-08-12
404,ST01620,BR09436,2020-11-05,2021-09-19
405,ST02014,BR01252,2020-07-25,2021-01-08
406,ST09019,BR09656,2022-09-22,
407,ST02540,BR09337,2024-02-29,
408,ST03503,BR06593,2022-10-17,2023-05-27
409,ST09725,BR08073,2024-06-28,
410,ST06073,BR00287,2021-12-28,2022-03-18
411,ST08361,BR04526,2022-10-26,2023-03-07
412,ST08626,BR02991,2022-11-30,
413,ST05325,BR09646,2021-03-04,2021-12-26
414,ST09838,BR00516,2022-06-22,2023-06-14
415,ST07357,BR00746,2023-03-12,2023-07-14
416,ST08540,BR00522,2024-01-18,2024-09-08
417,ST04596,BR06541,2022-09-05,2023-04-19
418,ST04344,BR07580,2020-05-04,
419,ST03733,BR05858,2020-03-18,2020-06-26
420,ST02050,BR09885,2021-11-22,2022-08-01
421,ST04455,BR03340,2022-12-28,
422,ST00487,BR08858,2024-09-02,
423,ST03283,BR00272,2021-09-06,2021-10-18
424,ST06568,BR06962,2020-06-10,2021-03-28
425,ST02735,BR09630,2023-09-17,2024-07-24
426,ST05575,BR04425,2024-05-07,
427,ST06661,BR02139,2024-02-04,
428,ST02913,BR02363,2021-09-09,2022-07-18
429,ST03791,BR01322,2022-04-15,2022-11-05
430,ST08075,BR00565,2021-07-31,
431,ST05556,BR00524,2023-09-29,2024-04-22
432,ST06985,BR05936,2020-10-29,2021-10-24
433,ST02927,BR03243,2021-09-20,2022-02-15
434,ST02640,BR02862,2020-06-03,
435,ST03746,BR03599,2023-12-16,2024-10-30
436,ST04914,BR04898,2023-06-03,2023-08-26
437,ST07234,BR02295,2021-09-23,2022-01-04
438,ST01933,BR01758,2023-06-23,
439,ST06439,BR02983,2021-06-19,2022-03-10
440,ST05673,BR09365,2023-07-20,
441,ST02177,BR03075,2021-11-14,2022-08-13
442,ST07457,BR05562,2020-10-09,2020-12-30
443,ST05589,BR02056,2022-05-04,
444,ST02799,BR05480,2021-12-04,
445,ST04656,BR01846,2024-10-13,
446,ST07489,BR08549,2020-02-17,2020-08-15
447,ST05127,BR00490,2023-07-02,2024-04-16
448,ST03251,BR00029,2021-02-24,2021-10-20
449,ST06602,BR02266,2022-01-30,
450,ST07349,BR07482,2020-02-29,2020-05-24
451,ST02147,BR01004,2021-07-31,
452,ST02701,BR06294,2020-07-21,2021-02-19
453,ST04893,BR06632,2021-04-23,
454,ST05865,BR07822,2020-10-09,
455,ST09593,BR06656,2020-06-12,
456,ST04481,BR06054,2024-05-06,2024-05-15
457,ST06510,BR03573,2023-04-15,
458,ST03408,BR08217,2024-04-24,2025-03-22
459,ST00870,BR06602,2022-02-22,2022-09-18
460,ST01082,BR00239,2021-04-06,
461,ST01673,BR05777,2020-05-15,
462,ST01059,BR09078,2023-03-26,2024-03-03
463,ST04523,BR07603,2023-01-15,2023-11-07
464,ST09569,BR09042,2022-01-04,
465,ST04633,BR02984,2020-11-03,2021-06-28
466,ST07206,BR02719,2022-01-31,
467,ST09764,BR01926,2020-06-18,2021-01-15
468,ST02272,BR06636,2021-09-05,
469,ST07896,BR09993,2022-03-25,
470,ST09075,BR03565,2022-08-21,2023-08-06
471,ST06112,BR06855,2020-05-26,
472,ST05781,BR09163,2021-10-11,2022-03-02
473,ST07032,BR03225,2024-11-08,2025-05-27
474,ST04159,BR02802,2020-03-26,
475,ST04441,BR03226,2024-10-06,
476,ST03633,BR03760,2021-01-31,
477,ST03242,BR04341,2022-07-30,2023-07-16
478,ST02742,BR01534,2024-07-29,
479,ST08230,BR09401,2021-05-10,2021-05-26
480,ST01550,BR03847,2020-07-18,2020-10-28
481,ST09272,BR00926,2024-08-23,2024-09-28
482,ST04030,BR03346,2020-10-12,2020-12-04
483,ST06184,BR08674,2023-12-13,
484,ST01964,BR04183,2020-01-13,2020-03-02
485,ST03858,BR02378,2024-11-08,
486,ST02733,BR06504,2023-05-26,
487,ST06454,BR03262,2023-02-27,
488,ST07999,BR03471,2023-12-25,
489,ST09245,BR04869,2023-07-12,2023-10-05
490,ST07540,BR07354,2022-06-23,2022-12-12
491,ST05802,BR06305,2021-12-22,2022-11-19
492,ST01200,BR09525,2021-07-20,2021-09-23
493,ST09482,BR07796,2022-01-23,2022-04-16
494,ST04421,BR02839,2021-08-28,2021-10-11
495,ST08410,BR00304,2023-08-13,2024-01-17
496,ST03346,BR03714,2020-04-02,2021-01-13
497,ST09728,BR04120,2024-02-29,
498,ST08637,BR07856,2021-02-12,2021-05-11
499,ST03406,BR00998,2024-10-27,2024-11-25
500,ST08053,BR03862,2024-03-17,
501,ST08775,BR09499,2022-05-11,
502,ST03015,BR09969,2020-10-11,
503,ST04528,BR06755,2021-07-08,2021-11-01
504,ST02160,BR09265,2021-06-15,2022-05-12
505,ST01282,BR04953,2021-06-16,
506,ST09320,BR00973,2021-10-19,
507,ST06730,BR06788,2023-08-22,
508,ST08203,BR01736,2020-11-16,
509,ST05045,BR03129,2022-10-03,2023-05-13
510,ST06576,BR06848,2023-06-17,2024-05-02
511,ST01552,BR00469,2023-07-02,2024-06-19
512,ST06661,BR09089,2020-03-13,
513,ST04053,BR06646,2023-10-21,
514,ST02790,BR00595,2023-09-18,
515,ST01896,BR04891,2024-09-25,
516,ST07288,BR08169,2023-10-28,2023-12-03
517,ST04453,BR04340,2021-12-16,2022-11-15
518,ST06857,BR08764,2023-12-01,2024-09-29
519,ST03417,BR04670,2021-11-16,
520,ST09113,BR03845,2020-04-22,
521,ST02503,BR07628,2022-07-10,
522,ST02442,BR08883,2021-05-01,2022-02-21
523,ST04043,BR03131,2023-04-10,2023-10-08
524,ST06024,BR03683,2023-07-18,
525,ST02422,BR01154,2022-09-11,
526,ST05468,BR03542,2022-05-25,2023-05-23
527,ST07849,BR04777,2023-02-02,2023-03-26
528,ST09886,BR00367,2024-04-07,
529,ST04559,BR01524,2024-09-10,
530,ST04422,BR08415,2020-06-04,2020-09-01
531,ST03885,BR04816,2023-01-04,2023-08-30
532,ST03963,BR06736,2022-06-05,2022-09-24
533,ST04270,BR06994,2023-05-18,
534,ST00201,BR09028,2021-07-16,
535,ST06177,BR02725,2022-07-02,2023-02-15
536,ST02917,BR05275,2020-06-04,
537,ST06966,BR01933,2023-06-19,2024-06-01
538,ST08679,BR09973,2024-07-29,2025-01-09
539,ST09285,BR04119,2022-10-10,
540,ST03921,BR09608,2020-09-28,2020-10-02
541,ST09771,BR00761,2020-01-21,2020-07-23
542,ST07560,BR01100,2020-04-06,
543,ST05122,BR02203,2021-04-26,2021-05-28
544,ST01303,BR02135,2020-04-27,
545,ST01915,BR05354,2022-06-22,2023-01-09
546,ST09915,BR00893,2021-06-07,2022-03-16
547,ST00499,BR06546,2021-12-23,2022-01-15
548,ST01528,BR09037,2023-12-18,2024-08-18
549,ST07590,BR00048,2022-02-10,
550,ST02589,BR04941,2022-09-16,
551,ST05301,BR04322,2024-05-22,2024-06-23
552,ST07236,BR04585,2021-11-27,
553,ST08326,BR08700,2022-12-30,2023-09-26
554,ST01443,BR06386,2020-08-25,
555,ST06375,BR05102,2022-03-18,
556,ST09604,BR01055,2023-02-02,
557,ST08250,BR07345,2023-04-10,
558,ST05283,BR04699,2022-10-15,
559,ST04863,BR04283,2020-01-28,2020-08-31
560,ST06286,BR06906,2023-10-09,
561,ST09707,BR02984,2022-02-09,
562,ST00628,BR09876,2021-07-17,2021-07-26
563,ST07767,BR01635,2024-12-15,2025-05-16
564,ST03560,BR00479,2020-06-15,
565,ST00570,BR07540,2024-05-09,
566,ST02347,BR03420,2022-11-15,2023-08-24
567,ST05750,BR05158,2024-05-11,
568,ST05523,BR09262,2022-05-16,
569,ST03842,BR01733,2020-11-28,
570,ST03561,BR08425,2021-03-10,2021-08-08
571,ST02302,BR07514,2021-07-29,
572,ST09830,BR02864,2021-04-17,
573,ST02867,BR00277,2024-01-25,
574,ST05372,BR07205,2023-02-06,
575,ST09087,BR00712,2020-05-14,
576,ST00669,BR01693,2024-05-05,
577,ST03504,BR01381,2020-01-21,2020-12-26
578,ST03340,BR04004,2023-06-07,2024-01-19
579,ST09790,BR09331,2024-05-13,
580,ST01518,BR01235,2022-12-03,
581,ST05449,BR02241,2020-04-24,
582,ST07331,BR07964,2020-05-03,2021-03-24
583,ST03911,BR04249,2024-03-24,
584,ST03226,BR01121,2024-02-19,
585,ST06904,BR01581,2023-10-25,
586,ST06493,BR08710,2021-02-04,
587,ST09111,BR05163,2024-10-16,2024-11-12
588,ST09112,BR09838,2020-11-09,2020-11-15
589,ST07906,BR07129,2021-08-27,2022-03-08
590,ST01547,BR03887,2021-01-11,2021-05-20
591,ST01663,BR01658,2020-03-13,
592,ST03546,BR01498,2024-03-26,2024-07-30
593,ST08404,BR01844,2021-11-14,
594,ST02573,BR08119,2021-08-28,
595,ST09698,BR00201,2020-11-15,
596,ST01108,BR06002,2021-11-27,
597,ST08365,BR05695,2021-09-03,
598,ST09022,BR04350,2020-08-31,2020-09-13
599,ST00406,BR03357,2020-04-26,2020-11-03
600,ST01525,BR09991,2024-01-30,2025-01-10
601,ST02853,BR06260,2020-08-28,2020-12-16
602,ST06624,BR05996,2023-06-03,
603,ST05146,BR01014,2024-12-05,2025-07-16
604,ST06819,BR03126,2021-07-19,2021-12-15
605,ST03019,BR08094,2024-11-23,
