ItemID,CategoryID,ItemName,CurrentPrice,DeliveryAvailable
ITEM00090,CAT00843,Young,48.09,0
ITEM00091,CAT00470,Sound,10.22,0
ITEM00092,CAT00393,Will,10.52,0
ITEM00093,CAT00518,Whose,99.38,1
ITEM00094,CAT00399,Bank,28.2,1
ITEM00095,CAT00392,Man,57.01,0
ITEM00096,CAT00566,Relationship,66.87,1
ITEM00097,CAT00297,Finally,29.84,0
ITEM00098,CAT00417,Decade,9.15,1
ITEM00099,CAT00439,Record,33.17,1
ITEM00100,CAT00839,Sport,56.56,0
ITEM00101,CAT00282,Billion,49.62,0
ITEM00102,CAT00506,Word,35.12,0
ITEM00103,CAT00305,Leader,22.46,1
ITEM00104,CAT00872,Pressure,64.23,0
ITEM00105,CAT00723,Effort,9.89,1
ITEM00106,CAT00852,Mrs,50.41,0
ITEM00107,CAT00655,Despite,21.13,0
ITEM00108,CAT00971,Response,54.15,1
ITEM00109,CAT00930,Service,50.21,0
ITEM00110,CAT00231,Little,78.46,1
ITEM00111,CAT00790,Think,37.97,0
ITEM00112,CAT00777,Yet,78.18,0
ITEM00113,CAT00470,Customer,93.38,1
ITEM00114,CAT00624,Various,16.76,0
ITEM00115,CAT00699,Own,19.51,0
ITEM00116,CAT00396,Form,54.65,1
ITEM00117,CAT00433,Less,55.2,0
ITEM00118,CAT00346,Education,20.27,1
ITEM00119,CAT00922,Interesting,76.72,1
ITEM00120,CAT00802,Owner,86.91,0
ITEM00121,CAT00305,Hair,66.82,1
ITEM00122,CAT00696,Various,22.97,1
ITEM00123,CAT00583,Economic,71.81,1
ITEM00124,CAT00880,Agent,64.56,1
ITEM00125,CAT00138,Possible,90.61,1
ITEM00126,CAT00098,Court,93.83,0
ITEM00127,CAT00890,In,67.34,0
ITEM00128,CAT00417,Fact,40.95,0
ITEM00129,CAT00157,Than,64.2,1
ITEM00130,CAT00664,Decade,96.63,1
ITEM00131,CAT00796,Explain,34.69,0
ITEM00132,CAT00666,Sing,34.33,1
ITEM00133,CAT00510,Rock,22.0,0
ITEM00134,CAT00596,Strong,42.32,0
ITEM00135,CAT00403,Should,95.38,1
ITEM00136,CAT00411,Per,87.83,1
ITEM00137,CAT00417,Prove,82.47,1
ITEM00138,CAT00328,Especially,25.35,1
ITEM00139,CAT00520,See,12.27,0
ITEM00140,CAT00474,Forget,86.92,0
ITEM00141,CAT00769,Attorney,68.17,0
ITEM00142,CAT00386,Here,12.42,0
ITEM00143,CAT00020,Away,68.64,1
ITEM00144,CAT00700,Certainly,96.3,1
ITEM00145,CAT00188,Street,23.8,0
ITEM00146,CAT00880,Reason,96.75,0
ITEM00147,CAT00818,Minute,63.35,0
ITEM00148,CAT00522,Ever,19.75,0
ITEM00149,CAT00150,Simple,90.39,0
ITEM00150,CAT00924,Expect,46.6,1
ITEM00151,CAT00740,Billion,31.01,0
ITEM00152,CAT00898,Nor,30.26,1
ITEM00153,CAT00010,Building,84.17,1
ITEM00154,CAT00016,Kitchen,28.37,1
ITEM00155,CAT00766,Ten,57.71,0
ITEM00156,CAT00993,Drop,88.96,1
ITEM00157,CAT00848,Difference,19.59,0
ITEM00158,CAT00015,Politics,82.37,0
ITEM00159,CAT00527,Speech,49.86,1
ITEM00160,CAT00263,Customer,59.07,1
ITEM00161,CAT00231,Majority,66.93,0
ITEM00162,CAT00193,On,14.9,0
ITEM00163,CAT00259,Interest,69.79,0
ITEM00164,CAT00742,Many,8.5,1
ITEM00165,CAT00771,Capital,30.31,1
ITEM00166,CAT00235,Item,50.2,0
ITEM00167,CAT00222,Community,80.96,0
ITEM00168,CAT00319,Task,27.29,0
ITEM00169,CAT00398,Activity,99.92,1
ITEM00170,CAT00941,Land,26.86,0
ITEM00171,CAT00560,Bit,27.13,0
ITEM00172,CAT00740,Catch,77.25,0
ITEM00173,CAT00942,Evening,88.06,0
ITEM00174,CAT00301,Individual,12.83,0
ITEM00175,CAT00364,Subject,20.76,0
ITEM00176,CAT00103,Capital,83.97,1
ITEM00177,CAT00063,Growth,50.15,1
ITEM00178,CAT00217,Sure,40.8,0
ITEM00179,CAT00810,Carry,19.17,0
ITEM00180,CAT00600,Your,24.65,0
ITEM00181,CAT00244,Way,42.05,1
ITEM00182,CAT00190,Road,11.15,0
ITEM00183,CAT00368,Save,8.97,1
ITEM00184,CAT00604,Team,61.67,1
ITEM00185,CAT00480,From,50.0,0
ITEM00186,CAT00785,By,69.01,1
ITEM00187,CAT00586,Stop,22.19,1
ITEM00188,CAT00721,Authority,19.38,1
ITEM00189,CAT00467,Model,6.63,1
ITEM00190,CAT00228,Page,12.84,0
ITEM00191,CAT00939,Clear,84.61,0
ITEM00192,CAT00933,Cultural,80.4,0
ITEM00193,CAT00820,Low,90.25,0
ITEM00194,CAT00317,Old,97.22,0
ITEM00195,CAT00785,Cold,71.62,1
ITEM00196,CAT00260,Performance,41.86,1
ITEM00197,CAT00798,Common,19.64,1
ITEM00198,CAT00353,Let,88.07,0
ITEM00199,CAT00608,Heart,19.44,0
ITEM00200,CAT00193,Tend,91.85,1
ITEM00201,CAT00987,Key,54.45,1
ITEM00202,CAT00856,Hear,93.1,1
ITEM00203,CAT00201,Increase,92.73,1
ITEM00204,CAT00868,Including,7.49,0
ITEM00205,CAT00666,Affect,67.98,1
ITEM00206,CAT00731,Child,94.04,0
ITEM00207,CAT00955,Let,14.06,1
ITEM00208,CAT00978,Within,74.93,0
ITEM00209,CAT00633,Star,66.25,1
ITEM00210,CAT00614,Risk,76.08,1
ITEM00211,CAT00002,Radio,82.76,1
ITEM00212,CAT00923,Hear,39.39,0
ITEM00213,CAT00204,Career,27.32,0
ITEM00214,CAT00563,Second,62.57,1
ITEM00215,CAT00544,Figure,47.46,0
ITEM00216,CAT00068,Heavy,79.22,0
ITEM00217,CAT00072,Consider,84.03,1
ITEM00218,CAT00597,Remain,29.59,0
ITEM00219,CAT00341,Production,6.21,1
ITEM00220,CAT00661,Play,54.84,0
ITEM00221,CAT00198,Say,55.03,0
ITEM00222,CAT00041,Know,38.34,1
ITEM00223,CAT00150,Fly,28.82,1
ITEM00224,CAT00649,Figure,48.25,1
ITEM00225,CAT00222,Letter,33.05,1
ITEM00226,CAT00635,Eat,35.1,1
ITEM00227,CAT00291,Expect,61.74,1
ITEM00228,CAT00083,Tree,73.63,1
ITEM00229,CAT00038,Job,56.33,0
ITEM00230,CAT00356,Cultural,53.51,0
ITEM00231,CAT00058,Clearly,51.24,0
ITEM00232,CAT00104,These,33.59,1
ITEM00233,CAT00810,After,11.49,1
ITEM00234,CAT00098,Particularly,68.83,1
ITEM00235,CAT00345,Few,55.25,1
ITEM00236,CAT00244,Resource,42.2,0
ITEM00237,CAT00401,Social,20.13,0
ITEM00238,CAT00920,Either,14.7,0
ITEM00239,CAT00207,Business,55.07,1
ITEM00240,CAT00087,Generation,22.38,1
ITEM00241,CAT00892,Role,67.37,1
ITEM00242,CAT00499,Try,17.76,0
ITEM00243,CAT00820,Rate,81.52,1
ITEM00244,CAT00604,Century,7.97,1
ITEM00245,CAT00179,Understand,50.83,0
ITEM00246,CAT00734,Education,7.65,0
ITEM00247,CAT00506,Poor,89.3,1
ITEM00248,CAT00456,But,35.07,1
ITEM00249,CAT00453,National,95.21,1
ITEM00250,CAT00600,Peace,45.08,1
ITEM00251,CAT00958,Back,99.78,0
ITEM00252,CAT00668,Require,51.38,1
ITEM00253,CAT00477,Small,10.1,1
ITEM00254,CAT00900,Station,79.34,0
ITEM00255,CAT00292,Generation,45.61,1
ITEM00256,CAT00560,Despite,92.42,1
ITEM00257,CAT00887,Pick,68.45,0
ITEM00258,CAT00644,North,76.87,1
ITEM00259,CAT00864,Increase,32.22,0
ITEM00260,CAT00908,Consider,86.72,1
ITEM00261,CAT00431,Stay,16.02,1
ITEM00262,CAT00378,Time,24.99,1
ITEM00263,CAT00982,Sport,7.42,1
ITEM00264,CAT00846,Fact,65.18,1
ITEM00265,CAT00014,Sell,97.74,0
ITEM00266,CAT00542,Need,17.61,0
ITEM00267,CAT00645,Sort,40.4,1
ITEM00268,CAT00748,North,21.86,1
ITEM00269,CAT00149,Throughout,56.52,1
ITEM00270,CAT00637,Market,74.85,1
ITEM00271,CAT00894,Involve,77.03,1
ITEM00272,CAT00307,Suddenly,93.87,0
ITEM00273,CAT00224,Anything,99.2,1
ITEM00274,CAT00669,Majority,58.03,1
ITEM00275,CAT00131,Keep,90.18,0
ITEM00276,CAT00937,Arm,50.06,0
ITEM00277,CAT00647,Answer,72.18,1
ITEM00278,CAT00911,Total,80.9,0
ITEM00279,CAT00373,Hard,87.93,0
ITEM00280,CAT00572,Remain,83.85,1
ITEM00281,CAT00717,In,59.45,1
ITEM00282,CAT00660,Over,89.96,1
ITEM00283,CAT00112,Indicate,10.4,0
ITEM00284,CAT00892,Best,87.18,1
ITEM00285,CAT00468,On,66.56,1
ITEM00286,CAT00605,Three,38.57,1
ITEM00287,CAT00060,Political,10.83,0
ITEM00288,CAT00220,Drop,49.38,1
ITEM00289,CAT00623,Picture,88.5,1
ITEM00290,CAT00355,Wind,35.76,0
ITEM00291,CAT00402,Prepare,90.92,0
ITEM00292,CAT00531,Last,77.48,0
ITEM00293,CAT00961,Responsibility,69.86,1
ITEM00294,CAT00160,I,85.18,1
ITEM00295,CAT00054,Together,17.84,1
ITEM00296,CAT00764,Nature,95.92,0
ITEM00297,CAT00898,Keep,44.28,1
ITEM00298,CAT00810,Interest,85.57,0
ITEM00299,CAT00808,Us,16.16,0
ITEM00300,CAT00939,Shoulder,40.26,1
ITEM00301,CAT00587,Two,26.72,1
ITEM00302,CAT00107,Many,36.0,0
ITEM00303,CAT00600,Wall,11.59,0
ITEM00304,CAT00808,Why,27.04,0
ITEM00305,CAT00947,About,74.33,1
ITEM00306,CAT00003,Realize,96.7,1
ITEM00307,CAT00536,Keep,43.89,0
ITEM00308,CAT00649,Give,72.59,1
ITEM00309,CAT00115,Report,5.58,0
ITEM00310,CAT00518,Might,57.73,0
ITEM00311,CAT00650,Where,36.96,0
ITEM00312,CAT00130,Establish,41.79,1
ITEM00313,CAT00497,Father,61.6,1
ITEM00314,CAT00444,Task,62.57,0
ITEM00315,CAT00153,Save,88.49,0
ITEM00316,CAT00598,Drive,55.39,0
ITEM00317,CAT00926,Trouble,11.92,1
ITEM00318,CAT00041,Item,7.82,0
ITEM00319,CAT00287,Fire,73.37,1
ITEM00320,CAT00655,Down,28.95,0
ITEM00321,CAT00525,Prove,85.95,1
ITEM00322,CAT00240,Art,89.13,1
ITEM00323,CAT00334,Wind,87.82,1
ITEM00324,CAT00203,Make,26.34,1
ITEM00325,CAT00514,Commercial,50.31,1
ITEM00326,CAT00473,Want,99.97,1
ITEM00327,CAT00327,Line,59.18,1
ITEM00328,CAT00466,Region,93.73,0
ITEM00329,CAT00064,Always,39.93,1
ITEM00330,CAT00992,Something,98.04,1
ITEM00331,CAT00203,Believe,37.35,1
ITEM00332,CAT00960,Approach,70.87,1
ITEM00333,CAT00196,Capital,23.64,0
ITEM00334,CAT00071,Anyone,27.83,0
ITEM00335,CAT00456,Treat,95.11,0
ITEM00336,CAT00851,Partner,34.25,1
ITEM00337,CAT00050,That,30.84,1
ITEM00338,CAT00402,Leader,40.94,1
ITEM00339,CAT00362,Drug,65.37,0
ITEM00340,CAT00284,Through,81.53,1
ITEM00341,CAT00031,Score,86.88,1
ITEM00342,CAT00797,Bad,9.33,0
ITEM00343,CAT00337,Same,62.51,0
ITEM00344,CAT00875,Ago,53.07,0
ITEM00345,CAT00093,Argue,48.93,1
ITEM00346,CAT00548,Season,57.07,0
ITEM00347,CAT00449,Us,98.36,0
ITEM00348,CAT00100,Artist,47.02,0
ITEM00349,CAT00336,Serve,92.64,1
ITEM00350,CAT00195,Hard,68.28,0
ITEM00351,CAT00054,Bill,61.94,0
ITEM00352,CAT00824,Seven,67.23,1
ITEM00353,CAT00833,To,89.95,1
ITEM00354,CAT00968,Two,69.15,1
ITEM00355,CAT00389,South,30.48,1
ITEM00356,CAT00806,Nor,74.59,1
ITEM00357,CAT00045,Dinner,82.37,1
ITEM00358,CAT00704,Impact,33.02,1
ITEM00359,CAT00265,Citizen,54.99,0
ITEM00360,CAT00164,Single,8.4,0
ITEM00361,CAT00910,We,93.52,1
ITEM00362,CAT00212,Method,94.38,0
ITEM00363,CAT00391,Free,39.55,1
ITEM00364,CAT00402,Police,79.62,0
ITEM00365,CAT00529,Group,99.39,1
ITEM00366,CAT00738,Finally,7.47,0
ITEM00367,CAT00878,Enjoy,73.23,1
ITEM00368,CAT00921,Unit,36.73,0
ITEM00369,CAT00436,Minute,75.9,1
ITEM00370,CAT00700,Number,59.79,1
ITEM00371,CAT00546,Different,8.47,1
ITEM00372,CAT00448,So,5.9,0
ITEM00373,CAT00804,Stuff,7.06,0
ITEM00374,CAT00696,Seven,34.08,0
ITEM00375,CAT00188,See,49.38,0
ITEM00376,CAT00405,I,38.97,0
ITEM00377,CAT00052,Final,33.58,1
ITEM00378,CAT00161,Responsibility,55.3,0
ITEM00379,CAT00721,Blue,98.04,0
ITEM00380,CAT00091,Note,36.23,0
ITEM00381,CAT00540,Wonder,10.93,1
ITEM00382,CAT00018,Chance,47.62,1
ITEM00383,CAT00419,Old,32.09,1
ITEM00384,CAT00526,Community,37.75,0
ITEM00385,CAT00711,Worker,47.3,1
ITEM00386,CAT00260,Site,8.38,1
ITEM00387,CAT00460,Would,69.21,1
ITEM00388,CAT00315,Change,42.65,1
ITEM00389,CAT00415,Smile,94.06,1
ITEM00390,CAT00057,Into,61.96,1
ITEM00391,CAT00030,Much,95.43,1
ITEM00392,CAT00602,Four,72.72,1
ITEM00393,CAT00255,Wide,38.71,0
ITEM00394,CAT00209,Play,73.63,0
ITEM00395,CAT00556,Rise,75.5,1
ITEM00396,CAT00992,Them,27.68,0
ITEM00397,CAT00701,Party,15.56,1
ITEM00398,CAT00391,Son,93.45,0
ITEM00399,CAT00621,Pretty,16.29,1
ITEM00400,CAT00162,Where,5.65,0
ITEM00401,CAT00634,Painting,93.25,0
ITEM00402,CAT00984,Believe,64.62,0
ITEM00403,CAT00527,Such,6.84,0
ITEM00404,CAT00975,Pay,10.48,1
ITEM00405,CAT00556,Participant,56.42,1
ITEM00406,CAT00454,New,80.58,1
ITEM00407,CAT00542,Often,56.61,0
ITEM00408,CAT00674,Great,89.41,0
ITEM00409,CAT00301,Matter,34.9,1
ITEM00410,CAT00113,Whole,42.12,1
ITEM00411,CAT00360,World,86.56,1
ITEM00412,CAT00266,Hundred,91.81,1
ITEM00413,CAT00508,Offer,30.38,0
ITEM00414,CAT00363,Piece,12.7,1
ITEM00415,CAT00467,Visit,99.65,1
ITEM00416,CAT00823,Growth,35.24,0
ITEM00417,CAT00049,Cold,73.45,0
ITEM00418,CAT00053,Computer,73.13,0
ITEM00419,CAT00889,Voice,33.66,1
ITEM00420,CAT00771,Behavior,60.89,0
ITEM00421,CAT00863,Win,52.05,0
ITEM00422,CAT00786,Before,51.33,0
ITEM00423,CAT00999,Eight,83.34,0
ITEM00424,CAT00829,Field,68.08,1
ITEM00425,CAT00070,Interest,9.27,0
ITEM00426,CAT00803,Possible,85.34,0
ITEM00427,CAT00202,Everyone,30.58,0
ITEM00428,CAT00178,True,36.38,1
ITEM00429,CAT00461,Name,86.68,1
ITEM00430,CAT00248,Safe,40.33,1
ITEM00431,CAT00015,Near,90.95,1
ITEM00432,CAT00699,Condition,74.36,1
ITEM00433,CAT00347,Wonder,23.96,0
ITEM00434,CAT00448,Address,31.12,1
ITEM00435,CAT00547,Try,91.0,1
ITEM00436,CAT00645,Brother,15.9,0
ITEM00437,CAT00099,Whose,50.2,1
ITEM00438,CAT00939,Job,36.55,0
ITEM00439,CAT00196,Edge,58.17,1
ITEM00440,CAT00757,Style,32.33,0
ITEM00441,CAT00400,Court,13.43,0
ITEM00442,CAT00635,Produce,56.88,1
ITEM00443,CAT00635,Say,6.73,1
ITEM00444,CAT00505,Range,12.38,1
ITEM00445,CAT00102,Practice,50.61,0
ITEM00446,CAT00062,State,26.32,1
ITEM00447,CAT00724,Approach,84.9,1
ITEM00448,CAT00240,Person,35.73,0
ITEM00449,CAT00138,Job,58.1,1
ITEM00450,CAT00163,Second,54.87,1
ITEM00451,CAT00131,Poor,11.72,0
ITEM00452,CAT00674,Important,90.71,0
ITEM00453,CAT00405,Gun,30.59,0
ITEM00454,CAT00167,Lawyer,21.8,1
ITEM00455,CAT00189,Lawyer,91.06,1
ITEM00456,CAT00905,Difficult,17.85,0
ITEM00457,CAT00340,Seven,54.74,1
ITEM00458,CAT00407,Then,74.38,0
ITEM00459,CAT00213,If,59.56,0
ITEM00460,CAT00081,Line,87.87,1
ITEM00461,CAT00634,Could,98.85,1
ITEM00462,CAT00886,South,83.32,0
ITEM00463,CAT00661,Study,27.53,1
ITEM00464,CAT00807,Ability,52.84,1
ITEM00465,CAT00682,Common,78.71,0
ITEM00466,CAT00220,Travel,75.46,0
ITEM00467,CAT00452,Now,79.94,0
ITEM00468,CAT00432,Member,97.87,1
ITEM00469,CAT00411,May,79.4,1
ITEM00470,CAT00963,Note,47.13,1
ITEM00471,CAT00826,Executive,76.33,0
ITEM00472,CAT00982,Near,6.97,0
ITEM00473,CAT00003,Recent,91.77,1
ITEM00474,CAT00338,Job,15.33,0
ITEM00475,CAT00229,Feeling,78.97,0
ITEM00476,CAT00221,Fact,91.79,0
ITEM00477,CAT00874,Measure,71.14,0
ITEM00478,CAT00619,Hope,51.78,0
ITEM00479,CAT00458,Number,63.54,1
ITEM00480,CAT00829,Second,95.13,1
ITEM00481,CAT00813,More,9.65,0
ITEM00482,CAT00339,Detail,40.35,0
ITEM00483,CAT00688,However,46.33,1
ITEM00484,CAT00592,Debate,78.97,1
ITEM00485,CAT00716,Exactly,82.72,1
ITEM00486,CAT00738,Win,97.67,1
ITEM00487,CAT00177,Student,31.95,1
ITEM00488,CAT00218,On,37.18,0
ITEM00489,CAT00761,Successful,49.33,0
ITEM00490,CAT00359,Despite,69.59,0
ITEM00491,CAT00197,Both,8.11,1
ITEM00492,CAT00191,Under,69.32,0
ITEM00493,CAT00559,Use,74.61,0
ITEM00494,CAT00124,Travel,76.21,1
ITEM00495,CAT00168,Senior,86.63,0
ITEM00496,CAT00614,Defense,73.56,1
ITEM00497,CAT00142,Customer,47.17,0
ITEM00498,CAT00961,Surface,78.83,0
ITEM00499,CAT00501,Painting,53.56,0
ITEM00500,CAT00240,Approach,87.99,1
ITEM00501,CAT00541,By,69.54,1
ITEM00502,CAT00636,Yard,78.61,0
ITEM00503,CAT00429,Let,86.09,1
ITEM00504,CAT00003,Customer,92.68,0
ITEM00505,CAT00227,Wind,62.27,1
ITEM00506,CAT00433,Wall,75.75,1
ITEM00507,CAT00203,City,46.98,0
ITEM00508,CAT00222,Best,53.29,1
ITEM00509,CAT00095,Side,22.21,0
ITEM00510,CAT00521,Question,21.95,1
ITEM00511,CAT00289,Foreign,61.17,1
ITEM00512,CAT00591,Live,77.09,1
ITEM00513,CAT00324,Minute,60.51,0
ITEM00514,CAT00785,Free,27.41,1
ITEM00515,CAT00211,Too,59.71,0
ITEM00516,CAT00238,Kind,67.12,1
ITEM00517,CAT00944,Movie,11.61,1
ITEM00518,CAT00575,Senior,31.27,1
ITEM00519,CAT00787,Skin,88.47,0
ITEM00520,CAT00878,Degree,34.36,1
ITEM00521,CAT00603,Officer,25.46,1
ITEM00522,CAT00462,Themselves,75.01,1
ITEM00523,CAT00289,Glass,93.74,0
ITEM00524,CAT00538,Country,19.37,1
ITEM00525,CAT00368,Mean,42.33,1
ITEM00526,CAT00798,Want,25.03,0
ITEM00527,CAT00181,Accept,33.62,0
ITEM00528,CAT00670,Us,36.57,1
ITEM00529,CAT00302,Price,55.0,1
ITEM00530,CAT00178,Method,18.05,1
ITEM00531,CAT00355,Rest,61.66,0
ITEM00532,CAT00584,Couple,96.83,0
ITEM00533,CAT00147,Run,69.99,0
ITEM00534,CAT00446,Air,44.88,0
ITEM00535,CAT00041,Someone,53.63,0
ITEM00536,CAT00187,Various,54.3,0
ITEM00537,CAT00054,Choose,85.59,1
ITEM00538,CAT00907,Since,42.23,1
ITEM00539,CAT00940,Memory,14.96,0
ITEM00540,CAT00774,Reflect,14.8,0
ITEM00541,CAT00983,Book,85.29,1
ITEM00542,CAT00680,Or,45.59,0
ITEM00543,CAT00828,Finally,49.51,0
ITEM00544,CAT00961,Lot,33.94,1
ITEM00545,CAT00589,Prove,15.73,1
ITEM00546,CAT00621,Nature,57.02,0
ITEM00547,CAT00707,Tough,26.68,1
ITEM00548,CAT00378,Question,9.86,0
ITEM00549,CAT00242,Box,22.66,0
ITEM00550,CAT00662,Current,69.67,1
ITEM00551,CAT00571,West,19.27,0
ITEM00552,CAT00424,Note,35.22,1
ITEM00553,CAT00604,Democrat,66.07,0
ITEM00554,CAT00475,Notice,55.35,1
ITEM00555,CAT00887,Little,18.36,1
ITEM00556,CAT00346,Mean,41.67,0
ITEM00557,CAT00416,Stay,41.45,1
ITEM00558,CAT00577,Material,60.53,1
ITEM00559,CAT00469,Price,23.46,1
ITEM00560,CAT00474,Everything,93.36,0
ITEM00561,CAT00182,Structure,48.02,0
ITEM00562,CAT00570,Close,85.13,0
ITEM00563,CAT00982,Listen,75.61,1
ITEM00564,CAT00196,Low,61.35,0
ITEM00565,CAT00871,Probably,80.39,0
ITEM00566,CAT00243,Computer,73.79,1
ITEM00567,CAT00326,Issue,95.24,0
ITEM00568,CAT00829,Parent,66.25,1
ITEM00569,CAT00013,War,53.11,1
ITEM00570,CAT00608,Seem,94.3,0
ITEM00571,CAT00484,Throughout,65.81,0
ITEM00572,CAT00503,Reason,24.06,0
ITEM00573,CAT00120,Candidate,47.63,0
ITEM00574,CAT00637,Evening,28.63,0
ITEM00575,CAT00210,Close,73.49,0
ITEM00576,CAT00976,Involve,32.21,1
ITEM00577,CAT00229,Responsibility,36.37,0
ITEM00578,CAT00890,Bank,51.21,0
ITEM00579,CAT00075,Coach,62.63,0
ITEM00580,CAT00575,Hard,6.46,0
ITEM00581,CAT00094,Kid,56.69,1
ITEM00582,CAT00970,Low,92.64,0
ITEM00583,CAT00391,Magazine,87.03,1
ITEM00584,CAT00943,Condition,76.52,0
ITEM00585,CAT00546,Least,71.02,0
ITEM00586,CAT00349,As,36.2,0
ITEM00587,CAT00239,War,69.41,1
ITEM00588,CAT00501,Maintain,58.87,0
ITEM00589,CAT00341,City,18.3,0
ITEM00590,CAT00287,Language,65.14,1
ITEM00591,CAT00097,Realize,17.0,0
ITEM00592,CAT00354,If,58.86,0
ITEM00593,CAT00817,Customer,14.11,1
ITEM00594,CAT00353,Third,31.19,1
ITEM00595,CAT00526,Great,91.8,1
ITEM00596,CAT00104,None,93.99,1
ITEM00597,CAT00866,Growth,82.59,1
ITEM00598,CAT00566,Rate,6.4,1
ITEM00599,CAT00248,Figure,31.82,1
ITEM00600,CAT00580,Return,79.92,1
ITEM00601,CAT00399,Factor,85.65,1
ITEM00602,CAT00666,Kitchen,90.03,1
ITEM00603,CAT00721,Control,27.62,0
ITEM00604,CAT00546,Give,75.31,1
ITEM00605,CAT00954,Section,55.48,1
ITEM00606,CAT00089,Ask,29.62,0
ITEM00607,CAT00625,Federal,26.33,1
ITEM00608,CAT00275,Shoulder,19.88,0
ITEM00609,CAT00422,Contain,14.53,1
ITEM00610,CAT00457,Yard,26.47,1
ITEM00611,CAT00613,Statement,66.56,0
ITEM00612,CAT00916,Organization,21.23,1
ITEM00613,CAT00615,Rule,74.8,1
ITEM00614,CAT00955,Collection,97.64,1
ITEM00615,CAT00988,Century,97.9,1
ITEM00616,CAT00463,Quickly,34.81,1
