BookingID,ItemID,Quantity
3676,ITEM07024,6
2515,ITEM06818,5
269,ITEM05903,2
4906,ITEM09357,10
3237,ITEM08915,6
184,ITEM06997,10
4880,ITEM06567,8
1717,ITEM05487,10
4103,ITEM09141,8
4952,ITEM06545,2
3786,ITEM06241,10
1981,ITEM08625,2
93,ITEM09771,5
2176,ITEM09039,10
4157,ITEM09056,2
4319,ITEM05366,10
3034,ITEM09553,5
1491,ITEM07956,3
3456,ITEM08825,4
3029,ITEM08325,9
3734,ITEM06328,8
636,ITEM05905,5
3937,ITEM07659,4
2303,ITEM05474,2
2051,ITEM05005,2
2075,ITEM05400,1
4177,ITEM07823,6
4386,ITEM09342,9
4417,ITEM07327,4
1202,ITEM08096,8
2640,ITEM05945,7
851,ITEM08512,2
4976,ITEM08381,7
3486,ITEM07782,4
432,ITEM08154,1
2938,ITEM05029,3
61,ITEM07489,1
2410,ITEM07321,7
3895,ITEM07320,10
2736,ITEM07675,8
819,ITEM05624,10
1316,ITEM07932,5
1511,ITEM08548,8
4539,ITEM09879,4
4128,ITEM07612,2
3164,ITEM08482,2
3889,ITEM09391,5
3207,ITEM09791,3
3752,ITEM07195,5
2463,ITEM08503,10
3185,ITEM08471,1
4623,ITEM09490,3
4856,ITEM07602,7
1392,ITEM05640,10
4866,ITEM06866,2
4461,ITEM06385,9
4204,ITEM09424,4
1314,ITEM05459,10
2773,ITEM06184,7
4051,ITEM09756,10
498,ITEM07797,3
4154,ITEM08183,2
4065,ITEM06695,4
811,ITEM08879,2
2935,ITEM09500,5
4084,ITEM06424,3
4625,ITEM07067,9
1237,ITEM05881,3
1337,ITEM08873,6
3623,ITEM07474,2
3961,ITEM08938,9
2999,ITEM05715,8
3768,ITEM07851,7
4743,ITEM05797,8
2407,ITEM07136,8
1536,ITEM06255,9
2505,ITEM09622,5
1002,ITEM05305,10
1572,ITEM06201,6
3013,ITEM06051,4
4077,ITEM07860,4
3250,ITEM09545,7
3989,ITEM05141,4
943,ITEM07559,8
4625,ITEM07732,1
3755,ITEM09905,1
1368,ITEM08283,2
2488,ITEM09973,8
2999,ITEM07202,9
1161,ITEM05684,9
3776,ITEM09916,5
1756,ITEM06149,2
158,ITEM05814,4
2112,ITEM05705,10
1971,ITEM09304,9
1664,ITEM05321,6
2181,ITEM09772,1
3371,ITEM07016,6
4909,ITEM05610,1
860,ITEM08324,6
1729,ITEM08404,5
85,ITEM08796,10
527,ITEM09413,3
2673,ITEM07934,2
3827,ITEM08948,3
3329,ITEM06174,1
810,ITEM08568,4
214,ITEM07904,7
941,ITEM09441,1
4540,ITEM09173,7
4358,ITEM08342,9
1903,ITEM07672,7
336,ITEM05487,7
1624,ITEM06954,7
3535,ITEM07323,3
2763,ITEM09310,7
2379,ITEM05826,9
4048,ITEM08361,10
4928,ITEM08127,8
1966,ITEM07949,5
1443,ITEM05279,8
4778,ITEM09189,8
3249,ITEM09637,10
4031,ITEM09588,6
2300,ITEM05453,9
1532,ITEM09574,3
1393,ITEM06817,3
407,ITEM06533,7
1043,ITEM05199,8
4341,ITEM07097,2
3055,ITEM07389,10
2334,ITEM06452,9
1797,ITEM09790,10
2273,ITEM07324,4
588,ITEM05926,1
893,ITEM08408,4
240,ITEM07740,8
1437,ITEM07231,10
4182,ITEM07637,3
4629,ITEM06381,9
2594,ITEM09224,3
4434,ITEM07393,8
1422,ITEM07159,3
3248,ITEM06626,2
3271,ITEM07366,3
4900,ITEM08666,10
1787,ITEM08074,6
1249,ITEM09024,6
2511,ITEM05042,10
4695,ITEM08040,3
3565,ITEM05017,6
4524,ITEM09399,3
2982,ITEM09934,2
1786,ITEM09787,3
4886,ITEM09226,1
2011,ITEM09565,4
3169,ITEM08233,4
25,ITEM06579,8
3350,ITEM06321,4
1627,ITEM08529,6
1622,ITEM09242,8
2105,ITEM06453,9
3386,ITEM07954,1
4265,ITEM08866,7
1637,ITEM06470,7
3700,ITEM09889,7
1656,ITEM06258,7
833,ITEM09877,9
3925,ITEM05065,1
2072,ITEM05215,6
4166,ITEM09367,9
4456,ITEM07974,3
1620,ITEM08322,3
2371,ITEM07358,2
385,ITEM05088,7
331,ITEM06911,4
1003,ITEM06842,6
3924,ITEM06550,8
3096,ITEM06194,7
3281,ITEM06939,1
2448,ITEM07903,8
3011,ITEM05073,8
2748,ITEM07407,2
4618,ITEM05166,4
3924,ITEM09885,5
4373,ITEM06997,5
703,ITEM05718,2
1675,ITEM05743,8
1041,ITEM05695,9
4996,ITEM05926,7
753,ITEM07934,2
186,ITEM07798,9
2350,ITEM05774,8
1405,ITEM07897,1
1841,ITEM08137,3
4242,ITEM08077,2
2699,ITEM08801,1
504,ITEM05455,7
3180,ITEM06924,1
3661,ITEM06998,3
973,ITEM07609,2
3059,ITEM08104,9
974,ITEM05205,5
726,ITEM09607,1
2864,ITEM07571,1
4670,ITEM07036,2
2778,ITEM08617,1
1220,ITEM06617,6
1605,ITEM08665,6
4621,ITEM06289,6
3303,ITEM06290,4
2115,ITEM06962,5
4145,ITEM05019,10
2234,ITEM09644,8
380,ITEM05043,8
2957,ITEM06922,4
3284,ITEM07428,5
276,ITEM09789,5
3814,ITEM09114,3
3901,ITEM08705,7
4491,ITEM09091,1
1574,ITEM05924,6
3881,ITEM08033,7
4427,ITEM06267,10
542,ITEM08788,10
57,ITEM07576,2
569,ITEM07769,7
998,ITEM07974,6
2775,ITEM09530,8
1105,ITEM06489,7
593,ITEM06171,3
4978,ITEM06204,6
3061,ITEM10000,7
4224,ITEM06044,2
874,ITEM08175,4
4439,ITEM08790,3
2597,ITEM07107,8
2223,ITEM07755,4
1475,ITEM07506,7
3889,ITEM09819,5
2058,ITEM08045,5
4600,ITEM09451,4
1218,ITEM06247,4
2776,ITEM06019,6
4543,ITEM07627,4
813,ITEM05488,8
4183,ITEM09351,3
4460,ITEM05080,9
4150,ITEM07645,6
1773,ITEM07024,1
3645,ITEM07034,4
1882,ITEM09929,3
1564,ITEM06063,9
69,ITEM05234,1
4820,ITEM05195,9
327,ITEM08720,7
2114,ITEM07409,9
2222,ITEM06795,8
4848,ITEM07021,5
382,ITEM08732,6
233,ITEM05472,9
4098,ITEM08881,6
323,ITEM08159,5
4075,ITEM07958,6
3246,ITEM07066,1
2879,ITEM06722,5
2500,ITEM06726,4
3415,ITEM06033,5
2402,ITEM06590,2
4071,ITEM08844,10
1693,ITEM08862,1
4634,ITEM08850,10
290,ITEM08809,5
2056,ITEM07412,8
4801,ITEM07541,1
497,ITEM07087,1
2661,ITEM07079,6
29,ITEM09321,7
315,ITEM08993,3
4361,ITEM07677,10
2404,ITEM05123,1
1175,ITEM09402,3
109,ITEM09865,1
970,ITEM09017,7
108,ITEM07181,2
2238,ITEM08464,5
1486,ITEM06719,8
116,ITEM07712,9
3433,ITEM06229,7
3997,ITEM09994,6
4426,ITEM05552,1
616,ITEM06265,10
2259,ITEM07231,8
2204,ITEM09258,6
3807,ITEM08520,6
3340,ITEM05612,10
4992,ITEM05154,8
1389,ITEM05035,3
4069,ITEM05634,10
2505,ITEM09875,6
1533,ITEM06685,7
1142,ITEM09655,1
4679,ITEM08140,8
4787,ITEM07435,1
1299,ITEM08231,7
4350,ITEM09993,9
2129,ITEM09138,2
2387,ITEM07647,4
261,ITEM08629,3
2945,ITEM09040,3
3638,ITEM08576,6
1364,ITEM05987,10
4609,ITEM05090,7
4606,ITEM05648,3
4201,ITEM08789,7
969,ITEM09285,3
3166,ITEM09291,1
4965,ITEM09139,7
1655,ITEM06043,2
1357,ITEM07229,6
3926,ITEM09839,8
3380,ITEM08966,6
3957,ITEM07364,3
3333,ITEM05775,9
4520,ITEM09888,8
2584,ITEM06418,10
3629,ITEM07006,4
3669,ITEM07227,10
2582,ITEM06274,4
4546,ITEM05760,10
2819,ITEM09585,9
1068,ITEM05757,3
641,ITEM07377,4
1889,ITEM09329,1
1705,ITEM08391,5
3324,ITEM07165,9
830,ITEM08691,3
2357,ITEM09579,10
3957,ITEM05546,9
3559,ITEM06233,7
3897,ITEM07248,7
3620,ITEM05956,1
942,ITEM05879,3
4607,ITEM07925,5
3414,ITEM08135,5
506,ITEM07940,2
514,ITEM08466,3
2757,ITEM06405,1
169,ITEM05582,6
3749,ITEM07123,8
3269,ITEM05415,1
1165,ITEM05468,9
250,ITEM08011,6
1162,ITEM08355,8
3807,ITEM06599,6
4949,ITEM05924,8
2005,ITEM05097,5
4791,ITEM08723,3
231,ITEM07425,3
3742,ITEM05713,4
484,ITEM05598,3
2291,ITEM05642,2
702,ITEM09590,2
3221,ITEM06870,4
708,ITEM05965,4
832,ITEM09129,4
1482,ITEM05897,8
3256,ITEM09986,2
3643,ITEM06226,5
2772,ITEM05630,2
1291,ITEM05911,4
4873,ITEM09393,5
3379,ITEM07994,5
2635,ITEM06014,3
4546,ITEM05669,2
3119,ITEM06457,4
2291,ITEM08328,1
2111,ITEM07956,1
3008,ITEM05416,7
4521,ITEM05444,3
2398,ITEM06985,4
3756,ITEM09965,8
1271,ITEM09044,7
450,ITEM05694,8
3927,ITEM07731,1
3893,ITEM07845,6
2215,ITEM09977,10
4596,ITEM08619,2
4285,ITEM05561,9
1918,ITEM08545,1
1473,ITEM06531,3
4488,ITEM09659,5
954,ITEM09963,4
4022,ITEM08023,8
4514,ITEM07452,10
175,ITEM07733,5
530,ITEM08169,5
2040,ITEM05822,3
3984,ITEM05714,9
2609,ITEM05774,1
2066,ITEM09867,2
167,ITEM09605,7
2121,ITEM05102,2
4908,ITEM08360,6
387,ITEM06278,10
3583,ITEM05400,3
3043,ITEM08901,3
4485,ITEM05052,2
4821,ITEM06876,1
2726,ITEM05890,2
1502,ITEM09406,3
3553,ITEM08560,3
1990,ITEM05141,9
3009,ITEM09852,2
2536,ITEM08092,3
2577,ITEM07338,1
4142,ITEM05802,6
1153,ITEM08341,4
4994,ITEM09651,4
1843,ITEM07926,7
4600,ITEM08600,7
1492,ITEM05722,3
2380,ITEM07905,2
2441,ITEM09878,1
719,ITEM08787,4
4006,ITEM06389,2
1379,ITEM07773,10
3478,ITEM05441,6
2625,ITEM07963,1
405,ITEM07092,1
1572,ITEM05353,5
2318,ITEM07215,10
2088,ITEM09769,5
1964,ITEM09497,1
1454,ITEM08751,9
2991,ITEM08338,6
4749,ITEM07115,9
2376,ITEM06106,3
3594,ITEM08092,5
249,ITEM08476,9
553,ITEM05782,4
4942,ITEM08439,5
1819,ITEM06270,10
4092,ITEM07511,7
1473,ITEM09296,1
3663,ITEM09127,2
2829,ITEM08178,7
1828,ITEM07454,8
2908,ITEM06242,9
4505,ITEM07661,7
2327,ITEM07337,2
1530,ITEM08944,3
3110,ITEM08403,6
3643,ITEM08099,8
1066,ITEM09889,10
3108,ITEM05453,10
3531,ITEM05208,10
1937,ITEM06586,6
3731,ITEM05698,1
2071,ITEM05130,1
4199,ITEM05308,5
2035,ITEM05107,10
1264,ITEM05510,6
1123,ITEM05459,1
3525,ITEM06271,4
1113,ITEM06392,1
2166,ITEM07693,4
435,ITEM09978,10
224,ITEM07428,5
1016,ITEM08690,6
4165,ITEM09477,5
3056,ITEM08422,4
2545,ITEM05523,4
4759,ITEM09264,9
3847,ITEM06432,4
4121,ITEM07272,7
504,ITEM06870,10
2598,ITEM07007,9
4771,ITEM05347,5
1746,ITEM06715,3
1508,ITEM08574,9
3042,ITEM07653,10
3408,ITEM07346,5
3261,ITEM08972,1
4386,ITEM09964,1
384,ITEM05366,4
3492,ITEM07510,1
2392,ITEM06250,3
2256,ITEM09111,9
4757,ITEM06103,7
765,ITEM09767,3
2359,ITEM09059,4
1358,ITEM09387,8
1359,ITEM05767,8
4698,ITEM06674,6
4846,ITEM06815,10
1936,ITEM09939,1
3153,ITEM09804,6
2289,ITEM08151,7
3986,ITEM09328,3
577,ITEM08689,7
3567,ITEM08784,8
2352,ITEM09550,3
4809,ITEM07260,2
4249,ITEM05169,5
2269,ITEM09809,5
760,ITEM06929,8
2848,ITEM09454,9
2209,ITEM06795,6
4327,ITEM06986,6
4378,ITEM07809,9
1358,ITEM09860,3
327,ITEM05578,2
1108,ITEM06563,8
802,ITEM05784,5
4952,ITEM07130,8
4218,ITEM05395,8
149,ITEM05179,10
1961,ITEM07374,4
928,ITEM05319,6
4,ITEM09990,4
3707,ITEM09694,10
4006,ITEM08201,3
2188,ITEM08283,4
3911,ITEM06876,5
2019,ITEM05343,7
404,ITEM05384,6
3823,ITEM05827,5
3253,ITEM07649,10
2313,ITEM08117,2
727,ITEM08267,8
300,ITEM05138,10
1188,ITEM08897,5
873,ITEM06619,7
1684,ITEM06538,6
1321,ITEM09261,2
4624,ITEM08191,6
244,ITEM08178,5
4690,ITEM05419,10
2655,ITEM06431,5
167,ITEM07833,3
4229,ITEM09483,1
1327,ITEM06579,7
786,ITEM09559,1
999,ITEM08818,7
4316,ITEM05861,1
2659,ITEM05198,7
4065,ITEM08365,9
451,ITEM08386,4
445,ITEM05040,3
4664,ITEM06239,4
1242,ITEM08162,7
4969,ITEM09428,1
1714,ITEM08577,7
4219,ITEM08954,7
1906,ITEM09696,10
1151,ITEM05712,1
527,ITEM08952,1
1600,ITEM07154,1
4962,ITEM06908,7
3545,ITEM08589,2
4748,ITEM09253,2
1181,ITEM08266,2
2170,ITEM08897,1
2480,ITEM05037,5
1744,ITEM05601,1
1287,ITEM06759,1
1518,ITEM09068,7
4008,ITEM06869,7
169,ITEM05214,1
324,ITEM08690,4
901,ITEM09443,9
1624,ITEM06716,6
2947,ITEM05483,4
3644,ITEM08232,8
2923,ITEM09860,9
3407,ITEM07908,2
800,ITEM09483,6
4167,ITEM07165,3
4475,ITEM06827,9
2965,ITEM09056,1
2204,ITEM05970,8
868,ITEM05641,9
1097,ITEM06169,2
3207,ITEM06550,7
889,ITEM08890,4
2424,ITEM06280,5
2150,ITEM07160,1
3024,ITEM07790,8
2317,ITEM09508,9
168,ITEM05758,9
620,ITEM06837,4
1907,ITEM07652,1
4934,ITEM06315,3
566,ITEM07087,9
964,ITEM09820,6
4324,ITEM06872,3
4403,ITEM09737,9
842,ITEM08989,9
62,ITEM09572,2
3174,ITEM06592,8
2565,ITEM06548,6
554,ITEM06996,2
4350,ITEM06242,9
1305,ITEM06433,7
1228,ITEM05592,5
506,ITEM05716,6
2482,ITEM08834,10
1296,ITEM05985,10
3792,ITEM05316,3
3767,ITEM05387,3
695,ITEM06177,4
1076,ITEM08723,8
2089,ITEM06601,5
680,ITEM09333,6
806,ITEM07007,3
755,ITEM06283,9
1121,ITEM08791,3
4697,ITEM07962,7
1051,ITEM06687,7
2442,ITEM06988,5
4326,ITEM07909,8
3740,ITEM07490,3
2217,ITEM09603,9
2408,ITEM06249,3
3528,ITEM09311,9
1583,ITEM08314,4
4952,ITEM05482,1
3990,ITEM05080,1
2513,ITEM09361,2
4367,ITEM09574,8
22,ITEM09054,6
1999,ITEM07020,3
3564,ITEM05265,7
4455,ITEM09671,5
730,ITEM07328,1
3254,ITEM08249,2
410,ITEM06303,8
2149,ITEM07693,6
1229,ITEM06124,4
50,ITEM08357,6
3771,ITEM07307,3
2307,ITEM08617,7
762,ITEM09349,1
249,ITEM07801,8
550,ITEM07193,6
852,ITEM08149,6
2306,ITEM07786,7
2671,ITEM07558,8
2228,ITEM09919,3
463,ITEM08123,6
1557,ITEM06766,1
2707,ITEM08823,3
2599,ITEM09321,4
3070,ITEM08182,4
145,ITEM07637,6
2195,ITEM05219,1
4595,ITEM07581,1
4408,ITEM06489,7
308,ITEM05991,8
673,ITEM08468,10
3786,ITEM08844,2
778,ITEM05091,8
3280,ITEM09095,4
4866,ITEM05894,9
960,ITEM07924,3
4255,ITEM08531,9
4241,ITEM08714,8
2055,ITEM06097,4
40,ITEM07853,1
62,ITEM09768,7
1723,ITEM06395,7
4020,ITEM09330,8
3642,ITEM09770,4
1184,ITEM08080,9
2084,ITEM09054,3
1001,ITEM09765,8
141,ITEM06983,4
4615,ITEM05892,3
2477,ITEM09371,8
1884,ITEM09318,1
2762,ITEM05968,2
3744,ITEM08746,9
1595,ITEM08433,2
721,ITEM05810,4
1972,ITEM07928,7
2247,ITEM08957,5
2616,ITEM09080,8
4317,ITEM05484,9
2349,ITEM07245,5
2406,ITEM07607,9
3665,ITEM09509,5
3023,ITEM08060,7
4466,ITEM09550,6
4291,ITEM08884,7
1289,ITEM05461,4
126,ITEM05418,5
278,ITEM09568,6
1973,ITEM07663,1
2603,ITEM05994,2
2028,ITEM09972,1
1725,ITEM09234,4
2107,ITEM07514,6
4931,ITEM07988,10
3892,ITEM05090,6
3245,ITEM05897,5
4677,ITEM09656,5
3280,ITEM09231,8
4696,ITEM09293,9
189,ITEM08170,9
2062,ITEM06252,5
4135,ITEM09336,2
319,ITEM06497,9
322,ITEM05136,7
4874,ITEM06608,7
4046,ITEM08554,10
85,ITEM07287,7
2985,ITEM07994,10
214,ITEM08204,1
4925,ITEM09133,4
2872,ITEM08966,9
2192,ITEM06282,10
1280,ITEM05615,2
3044,ITEM05945,1
3494,ITEM07045,4
4973,ITEM05161,6
1483,ITEM09765,1
4051,ITEM07638,2
500,ITEM08302,1
1433,ITEM06474,5
3365,ITEM06216,9
4735,ITEM05423,8
3328,ITEM08640,9
3779,ITEM05550,7
2312,ITEM07231,5
3752,ITEM07313,8
3447,ITEM08011,3
996,ITEM06617,4
2303,ITEM05641,2
2363,ITEM09856,10
4332,ITEM07466,9
4003,ITEM05900,7
3668,ITEM09571,10
1736,ITEM07441,4
1994,ITEM05731,2
2680,ITEM07398,4
64,ITEM05343,2
1790,ITEM09673,7
3927,ITEM07796,9
753,ITEM08510,4
4581,ITEM08834,1
