SessionID,UserID,SessionStart,SessionDuration,DeviceType,IPAddress,InternalSource
SESSION00095,USR02362,2024-05-30 21:29:19,6616,Tablet,190.170.205.185,API
SESSION00096,USR07487,2024-06-21 10:13:05,875,Mobile,2.1.175.234,Website
SESSION00097,USR05784,2024-07-05 18:35:21,4718,Desktop,182.25.67.249,API
SESSION00098,USR03307,2024-03-23 01:36:57,4008,Tablet,72.136.219.110,App
SESSION00099,USR03868,2024-12-15 23:16:07,2502,Desktop,184.236.105.82,App
SESSION00100,USR01079,2024-11-07 06:01:19,6501,Desktop,75.30.32.4,Website
SESSION00101,USR03580,2024-05-30 20:53:12,732,Desktop,134.119.41.86,API
SESSION00102,USR07655,2024-11-21 03:57:14,3622,Mobile,56.102.100.12,Website
SESSION00103,USR00452,2023-12-29 08:28:51,882,Mobile,156.157.192.196,Website
SESSION00104,USR03929,2024-04-07 17:11:31,4638,Mobile,167.118.12.160,App
SESSION00105,USR01704,2024-07-16 08:53:27,1407,Mobile,118.15.119.195,App
SESSION00106,USR01695,2024-03-26 03:01:43,4625,Desktop,98.82.39.125,API
SESSION00107,USR06478,2024-08-26 03:30:25,7053,Tablet,106.178.115.252,App
SESSION00108,USR00489,2024-06-04 02:08:05,436,Tablet,177.81.249.20,Website
SESSION00109,USR08269,2024-10-13 11:35:41,4962,Desktop,83.48.170.219,API
SESSION00110,USR05419,2024-08-13 23:02:48,3486,Mobile,155.36.97.34,API
SESSION00111,USR08565,2023-12-28 19:36:04,3271,Tablet,73.94.95.217,Website
SESSION00112,USR01116,2024-09-01 21:04:24,6234,Mobile,197.86.68.159,API
SESSION00113,USR05070,2024-01-09 12:38:38,2046,Desktop,76.89.53.154,API
SESSION00114,USR07538,2024-07-06 04:24:10,4275,Tablet,46.70.29.228,API
SESSION00115,USR08682,2024-11-09 04:36:47,4037,Tablet,17.6.85.20,API
SESSION00116,USR07681,2024-10-12 10:19:37,838,Tablet,167.62.76.227,Website
SESSION00117,USR09202,2024-09-14 17:23:38,1215,Mobile,160.37.133.197,API
SESSION00118,USR04623,2024-03-09 12:01:32,3942,Mobile,143.209.215.144,App
SESSION00119,USR09361,2024-06-15 13:35:56,4624,Mobile,115.28.147.165,Website
SESSION00120,USR08852,2024-11-11 22:41:01,5925,Desktop,80.5.189.14,Website
SESSION00121,USR04847,2024-03-07 10:31:38,2394,Mobile,159.156.196.55,API
SESSION00122,USR08403,2024-09-10 05:12:02,3276,Mobile,215.172.125.195,App
SESSION00123,USR07128,2024-10-05 18:15:54,1928,Mobile,129.6.169.90,Website
SESSION00124,USR07439,2024-06-14 12:42:38,3684,Desktop,66.223.115.132,Website
SESSION00125,USR02733,2024-05-20 12:28:50,5241,Mobile,164.250.234.1,API
SESSION00126,USR07892,2024-02-18 00:54:36,2584,Mobile,57.41.229.171,Website
SESSION00127,USR03456,2024-12-10 16:48:49,4827,Mobile,33.36.30.226,App
SESSION00128,USR07455,2024-07-14 13:54:14,5578,Desktop,105.30.63.233,App
SESSION00129,USR02577,2024-02-24 16:50:13,253,Desktop,126.76.162.206,API
SESSION00130,USR05244,2024-09-18 18:11:25,1262,Tablet,86.86.75.89,App
SESSION00131,USR08424,2024-10-13 06:50:24,1900,Tablet,59.216.92.184,API
SESSION00132,USR01187,2024-03-11 23:00:53,4709,Tablet,121.241.9.241,Website
SESSION00133,USR00664,2024-02-22 07:32:38,3563,Tablet,179.161.24.200,App
SESSION00134,USR04888,2024-11-13 00:16:52,6382,Mobile,208.86.96.118,Website
SESSION00135,USR05588,2024-03-05 09:37:22,3350,Tablet,110.71.2.22,API
SESSION00136,USR02853,2024-03-23 23:23:14,4723,Desktop,62.1.52.75,Website
SESSION00137,USR03795,2023-12-24 19:03:27,7008,Tablet,22.235.18.71,Website
SESSION00138,USR09678,2024-11-18 09:57:34,611,Mobile,133.14.151.123,Website
SESSION00139,USR08369,2024-12-01 19:51:03,2704,Mobile,62.1.224.229,API
SESSION00140,USR04458,2024-05-25 21:06:57,6999,Desktop,114.46.56.81,App
SESSION00141,USR02462,2024-06-13 20:15:33,5044,Tablet,51.231.96.137,Website
SESSION00142,USR03813,2024-10-11 13:41:53,4291,Mobile,159.47.139.172,App
SESSION00143,USR01719,2024-11-07 19:52:24,974,Mobile,27.129.69.21,Website
SESSION00144,USR07862,2024-12-05 06:12:12,1052,Tablet,56.234.45.78,API
SESSION00145,USR09594,2024-11-29 08:56:38,1396,Desktop,192.211.53.72,API
SESSION00146,USR01739,2024-01-31 10:28:05,6647,Tablet,134.51.193.193,Website
SESSION00147,USR00694,2024-01-10 11:40:45,231,Tablet,153.176.36.99,Website
SESSION00148,USR05177,2024-01-24 07:29:33,4786,Tablet,179.197.150.136,Website
SESSION00149,USR08212,2024-07-12 18:31:49,4100,Desktop,55.166.216.176,App
SESSION00150,USR03353,2024-12-03 11:38:33,5158,Tablet,57.212.133.219,API
SESSION00151,USR06329,2024-06-24 22:09:49,3779,Mobile,66.133.87.128,API
SESSION00152,USR09656,2023-12-19 19:50:00,1335,Mobile,18.11.131.109,API
SESSION00153,USR00137,2024-12-01 21:43:38,78,Desktop,203.33.18.21,App
SESSION00154,USR02758,2024-10-31 13:27:44,3349,Desktop,166.194.232.130,Website
SESSION00155,USR06667,2024-11-24 16:15:32,4232,Tablet,114.31.83.49,API
SESSION00156,USR03087,2024-12-01 02:22:08,6626,Tablet,37.19.88.201,Website
SESSION00157,USR06607,2024-02-01 01:36:51,4643,Desktop,49.0.125.112,API
SESSION00158,USR09368,2024-12-16 05:49:25,4006,Desktop,75.94.244.26,Website
SESSION00159,USR04695,2024-09-17 09:05:13,3495,Desktop,39.185.255.138,Website
SESSION00160,USR01983,2024-03-14 23:40:43,6626,Tablet,57.20.167.78,API
SESSION00161,USR09915,2024-11-26 16:30:19,3150,Tablet,197.180.68.189,App
SESSION00162,USR00948,2024-08-16 04:51:51,977,Mobile,19.192.105.54,API
SESSION00163,USR06495,2024-04-07 00:20:13,3555,Desktop,51.106.77.139,Website
SESSION00164,USR07763,2024-04-10 19:25:30,3438,Tablet,218.237.152.242,Website
SESSION00165,USR05527,2024-08-27 17:30:00,4751,Mobile,56.2.154.175,App
SESSION00166,USR00493,2024-08-26 22:54:22,3096,Desktop,200.92.49.129,Website
SESSION00167,USR02553,2024-11-18 12:33:51,7010,Desktop,213.33.45.56,Website
SESSION00168,USR01541,2024-09-13 00:37:07,3387,Desktop,64.9.51.187,API
SESSION00169,USR02600,2024-10-23 12:37:02,1641,Mobile,29.62.47.141,API
SESSION00170,USR08600,2024-05-03 16:23:45,4334,Desktop,11.149.131.216,Website
SESSION00171,USR08244,2023-12-29 11:45:16,2183,Mobile,11.248.6.162,App
SESSION00172,USR09140,2024-05-29 05:24:39,1055,Desktop,14.234.89.124,Website
SESSION00173,USR05654,2024-03-25 23:43:16,783,Desktop,49.55.106.19,Website
SESSION00174,USR03900,2024-12-08 21:50:49,577,Desktop,30.7.55.251,API
SESSION00175,USR04111,2024-07-02 07:43:26,6553,Mobile,59.77.159.30,App
SESSION00176,USR09136,2024-09-02 02:27:42,701,Mobile,223.28.15.61,Website
SESSION00177,USR02817,2024-03-06 17:33:34,1493,Mobile,114.11.213.172,API
SESSION00178,USR01893,2024-10-05 02:38:09,5225,Mobile,157.108.193.183,App
SESSION00179,USR06409,2024-08-26 11:17:36,2702,Tablet,3.248.109.18,App
SESSION00180,USR00049,2024-06-09 19:03:35,5239,Mobile,41.137.151.4,API
SESSION00181,USR04469,2024-08-12 23:24:25,2532,Desktop,220.214.27.58,API
SESSION00182,USR05261,2024-04-30 03:49:09,6633,Mobile,143.9.69.84,App
SESSION00183,USR05956,2024-02-11 08:39:37,4208,Tablet,179.12.74.195,App
SESSION00184,USR00334,2024-08-07 20:31:35,4636,Desktop,179.59.171.78,App
SESSION00185,USR07274,2024-11-20 07:17:09,2196,Desktop,44.22.61.64,Website
SESSION00186,USR03918,2024-12-15 17:37:42,2237,Mobile,12.235.210.78,App
SESSION00187,USR08700,2024-10-01 01:08:51,1966,Mobile,111.207.23.19,API
SESSION00188,USR07142,2024-09-30 23:00:34,3671,Desktop,17.254.245.89,App
SESSION00189,USR01124,2024-10-31 00:40:09,2173,Desktop,125.134.135.202,API
SESSION00190,USR05308,2024-03-25 22:21:33,5759,Tablet,64.37.85.103,API
SESSION00191,USR09045,2024-02-22 18:46:28,2845,Mobile,13.251.141.151,App
SESSION00192,USR09188,2024-08-24 01:29:44,2248,Tablet,55.31.55.134,Website
SESSION00193,USR07454,2024-12-17 07:22:27,5110,Tablet,74.225.241.189,App
SESSION00194,USR07176,2024-12-09 04:52:48,1123,Mobile,126.192.59.75,Website
SESSION00195,USR07498,2024-08-04 03:11:04,774,Tablet,119.201.95.254,App
SESSION00196,USR07918,2024-03-02 18:45:13,2232,Desktop,188.103.99.147,API
SESSION00197,USR07679,2024-09-03 02:37:45,478,Desktop,122.198.214.67,App
SESSION00198,USR07046,2024-07-08 12:23:43,2925,Tablet,160.117.156.59,API
SESSION00199,USR01627,2024-12-15 15:35:32,5971,Tablet,52.60.124.255,Website
SESSION00200,USR01064,2024-02-20 13:10:52,4921,Desktop,135.213.135.169,Website
SESSION00201,USR04751,2024-05-26 23:12:22,1638,Mobile,22.217.90.53,Website
SESSION00202,USR09576,2024-03-28 21:05:21,74,Desktop,6.26.225.112,Website
SESSION00203,USR00454,2024-02-03 12:35:51,1039,Desktop,110.251.41.240,API
SESSION00204,USR06719,2024-06-14 19:18:44,4829,Mobile,11.82.127.212,API
SESSION00205,USR03230,2024-02-05 07:53:00,20,Tablet,126.220.149.147,App
SESSION00206,USR08327,2024-12-02 22:32:44,1704,Desktop,115.191.251.202,API
SESSION00207,USR04507,2024-11-09 08:23:19,3862,Mobile,17.98.99.232,Website
SESSION00208,USR08410,2024-05-26 15:39:05,105,Tablet,201.114.215.145,Website
SESSION00209,USR01598,2024-03-15 10:55:38,2344,Mobile,40.207.147.214,Website
SESSION00210,USR09759,2024-08-20 01:16:42,3142,Desktop,7.54.48.5,App
SESSION00211,USR07632,2024-01-21 22:32:27,416,Mobile,202.177.31.133,API
SESSION00212,USR08645,2024-09-27 22:22:42,7041,Tablet,21.55.192.62,App
SESSION00213,USR08977,2024-05-05 06:57:24,3216,Tablet,179.151.215.12,API
SESSION00214,USR01664,2024-05-20 23:43:24,3011,Mobile,71.225.186.3,Website
SESSION00215,USR00402,2024-07-29 19:30:25,6734,Desktop,191.248.62.209,Website
SESSION00216,USR08751,2024-07-03 13:41:32,2730,Mobile,59.236.205.111,API
SESSION00217,USR04787,2024-08-14 03:00:26,3799,Desktop,203.50.32.216,App
SESSION00218,USR09081,2024-06-21 00:19:58,3786,Mobile,120.102.35.70,App
SESSION00219,USR07219,2024-02-03 10:42:37,601,Mobile,211.130.93.119,Website
SESSION00220,USR07585,2024-04-15 16:00:35,4127,Mobile,31.166.142.223,API
SESSION00221,USR07439,2024-12-14 21:48:42,2869,Tablet,100.206.11.19,Website
SESSION00222,USR02485,2024-02-13 01:11:52,2135,Mobile,190.178.193.148,Website
SESSION00223,USR01631,2023-12-21 13:49:53,1217,Tablet,183.93.237.187,Website
SESSION00224,USR09088,2024-03-03 17:23:01,3736,Desktop,145.232.247.136,Website
SESSION00225,USR05267,2024-07-06 12:44:22,208,Mobile,131.217.151.108,Website
SESSION00226,USR00476,2024-05-08 19:24:16,5471,Tablet,59.143.249.153,App
SESSION00227,USR09152,2024-11-03 07:30:11,5220,Mobile,104.158.116.17,API
SESSION00228,USR05051,2024-03-26 19:58:29,7116,Desktop,13.51.160.173,API
SESSION00229,USR01733,2024-07-06 10:57:03,684,Desktop,3.66.188.143,App
SESSION00230,USR07247,2024-03-30 14:09:51,6810,Mobile,46.251.255.80,Website
SESSION00231,USR00849,2024-07-09 23:18:39,5084,Tablet,39.221.113.98,API
SESSION00232,USR02188,2024-04-21 10:51:30,6326,Desktop,63.57.196.166,Website
SESSION00233,USR02736,2024-01-30 00:33:53,7121,Desktop,121.51.77.72,App
SESSION00234,USR00944,2023-12-25 05:40:18,3846,Desktop,100.0.221.209,Website
SESSION00235,USR01593,2024-09-04 13:34:53,6663,Tablet,55.64.144.98,App
SESSION00236,USR05665,2024-03-23 16:07:28,3692,Mobile,214.68.248.138,API
SESSION00237,USR06648,2024-06-05 22:24:25,4488,Tablet,144.141.221.32,App
SESSION00238,USR01248,2024-03-07 14:06:11,6159,Tablet,145.106.110.199,App
SESSION00239,USR05464,2024-11-05 21:01:24,4096,Desktop,86.255.16.44,API
SESSION00240,USR07391,2024-06-04 20:57:19,4175,Tablet,194.10.225.60,API
SESSION00241,USR04753,2024-03-06 06:38:42,3246,Desktop,130.93.64.160,Website
SESSION00242,USR06959,2024-11-30 04:16:36,794,Tablet,26.136.224.18,Website
SESSION00243,USR01120,2024-02-13 20:57:46,347,Tablet,70.66.179.7,Website
SESSION00244,USR01531,2024-02-23 00:02:54,2253,Tablet,110.98.99.13,App
SESSION00245,USR01029,2024-10-28 22:06:22,4110,Desktop,147.251.20.79,App
SESSION00246,USR05463,2024-03-09 07:03:27,2862,Tablet,2.68.96.180,App
SESSION00247,USR03316,2024-04-24 02:19:55,4543,Desktop,137.156.62.206,Website
SESSION00248,USR09141,2024-07-17 01:12:18,3558,Tablet,156.103.189.17,Website
SESSION00249,USR00171,2024-04-11 12:43:30,1301,Desktop,158.195.232.60,Website
SESSION00250,USR07390,2024-04-15 23:29:05,3404,Desktop,19.254.156.36,App
SESSION00251,USR01158,2024-08-28 14:27:08,1513,Mobile,129.99.230.22,API
SESSION00252,USR07262,2024-12-07 09:51:59,4732,Desktop,130.140.97.0,API
SESSION00253,USR04690,2024-03-15 23:57:39,2537,Mobile,184.18.140.65,App
SESSION00254,USR01894,2024-10-06 16:04:53,5498,Tablet,45.63.20.34,API
SESSION00255,USR03879,2024-09-24 11:13:25,3164,Tablet,183.174.5.51,API
SESSION00256,USR03300,2024-07-11 07:36:30,5715,Tablet,213.110.108.78,API
SESSION00257,USR02002,2024-10-15 10:39:50,6180,Tablet,56.104.45.35,Website
SESSION00258,USR00342,2024-06-01 17:23:09,1579,Tablet,144.81.162.70,Website
SESSION00259,USR03457,2024-01-21 19:36:43,3023,Desktop,29.238.115.144,API
SESSION00260,USR08844,2024-11-15 02:09:26,1078,Tablet,147.208.102.51,App
SESSION00261,USR03785,2024-05-06 19:25:17,2204,Tablet,97.110.206.147,App
SESSION00262,USR02504,2024-01-13 11:55:56,315,Tablet,193.83.249.227,API
SESSION00263,USR02091,2024-07-03 17:44:49,465,Tablet,44.69.70.250,App
SESSION00264,USR01092,2024-11-20 05:05:54,4804,Tablet,78.208.71.39,Website
SESSION00265,USR08317,2024-05-18 23:42:40,5114,Tablet,84.43.196.59,Website
SESSION00266,USR03138,2024-05-29 07:46:24,3503,Mobile,122.68.145.88,API
SESSION00267,USR01166,2024-03-29 11:56:33,2288,Desktop,137.36.56.107,App
SESSION00268,USR07198,2024-08-27 10:40:03,3830,Mobile,197.231.98.110,App
SESSION00269,USR09312,2024-07-11 07:45:22,4039,Desktop,157.213.19.129,Website
SESSION00270,USR06938,2024-06-21 08:02:41,1319,Tablet,9.144.109.143,Website
SESSION00271,USR01928,2024-09-26 19:19:39,7080,Tablet,220.130.55.185,API
SESSION00272,USR06904,2023-12-21 07:00:47,1386,Tablet,13.0.71.225,API
SESSION00273,USR01110,2024-08-28 19:05:52,391,Desktop,1.28.247.165,Website
SESSION00274,USR02383,2024-07-18 18:44:26,4519,Tablet,82.52.219.180,App
SESSION00275,USR05605,2024-07-09 04:41:49,5319,Tablet,32.238.25.90,Website
SESSION00276,USR03927,2024-04-22 22:55:24,2487,Mobile,86.17.92.25,App
SESSION00277,USR07977,2024-04-16 03:23:36,6961,Mobile,84.76.242.71,API
SESSION00278,USR02830,2024-09-06 21:39:41,2711,Tablet,73.245.87.189,API
SESSION00279,USR01387,2024-05-28 03:28:05,1169,Desktop,165.22.126.241,App
SESSION00280,USR04976,2024-04-20 11:10:44,1217,Tablet,15.75.155.29,Website
SESSION00281,USR00186,2024-11-18 23:30:55,172,Tablet,209.134.119.25,Website
SESSION00282,USR06804,2024-05-03 09:04:23,6222,Mobile,24.65.158.31,App
SESSION00283,USR09409,2024-05-07 11:12:08,1412,Mobile,112.136.139.181,API
SESSION00284,USR06156,2024-09-26 19:51:31,1205,Mobile,13.34.168.168,Website
SESSION00285,USR02333,2024-09-10 22:28:55,5638,Tablet,80.149.29.83,App
SESSION00286,USR06749,2024-08-17 07:46:00,3883,Desktop,5.213.123.204,API
SESSION00287,USR06994,2024-10-04 12:20:15,4626,Desktop,24.188.170.199,API
SESSION00288,USR07516,2023-12-28 17:10:28,3489,Mobile,17.183.100.220,App
SESSION00289,USR06275,2024-07-30 06:42:31,6339,Mobile,52.57.187.43,API
SESSION00290,USR07309,2024-08-15 06:59:50,6896,Desktop,212.14.25.22,API
SESSION00291,USR06086,2024-08-15 04:53:59,4285,Desktop,19.112.147.165,Website
SESSION00292,USR09315,2024-07-12 15:08:50,33,Mobile,50.173.61.241,App
SESSION00293,USR01553,2024-10-20 02:33:47,6374,Desktop,158.0.216.208,API
SESSION00294,USR04842,2024-02-16 00:04:32,6857,Mobile,61.198.158.50,App
SESSION00295,USR02839,2024-01-03 15:20:18,3341,Mobile,169.201.241.240,App
SESSION00296,USR08600,2024-08-22 05:47:21,6388,Desktop,24.4.146.136,App
SESSION00297,USR06864,2023-12-31 19:59:24,4427,Desktop,196.145.131.56,API
SESSION00298,USR07292,2024-07-24 06:07:29,5752,Tablet,161.38.155.246,API
SESSION00299,USR06074,2024-12-01 01:31:54,1771,Desktop,52.28.100.122,API
SESSION00300,USR04002,2024-06-01 13:45:46,3680,Desktop,89.117.206.182,Website
SESSION00301,USR06528,2024-01-30 05:01:28,1726,Tablet,68.99.138.122,Website
SESSION00302,USR06713,2024-11-03 16:15:23,6831,Tablet,168.2.7.88,App
SESSION00303,USR05104,2024-04-14 20:11:02,2802,Mobile,90.42.97.182,API
SESSION00304,USR00125,2024-05-08 07:37:20,942,Desktop,158.74.167.113,API
SESSION00305,USR02086,2024-01-14 20:05:04,5254,Mobile,63.197.70.212,Website
SESSION00306,USR09029,2024-02-11 02:21:39,6435,Desktop,107.68.221.2,App
SESSION00307,USR06311,2024-08-29 06:07:42,1213,Desktop,73.252.243.99,Website
SESSION00308,USR06118,2024-08-27 02:21:29,4257,Mobile,69.145.142.70,Website
SESSION00309,USR05755,2024-11-23 20:16:22,3250,Desktop,123.117.227.27,Website
SESSION00310,USR03228,2024-08-07 15:37:49,697,Mobile,44.210.127.37,API
SESSION00311,USR04175,2024-05-02 04:34:30,3004,Tablet,81.99.219.3,App
SESSION00312,USR02789,2024-06-01 06:52:59,4665,Mobile,192.2.255.106,API
SESSION00313,USR03290,2024-11-23 03:10:11,3630,Mobile,16.145.179.82,App
SESSION00314,USR09716,2024-10-12 15:59:08,369,Mobile,18.65.192.94,Website
SESSION00315,USR02403,2024-05-13 10:23:45,4696,Mobile,39.130.137.16,App
SESSION00316,USR07706,2024-05-30 12:07:38,6894,Tablet,31.76.54.41,App
SESSION00317,USR09049,2024-10-08 18:47:56,469,Tablet,52.77.109.130,App
SESSION00318,USR06825,2024-02-01 23:17:59,5431,Desktop,124.143.87.240,API
SESSION00319,USR04141,2024-02-12 00:14:00,1963,Tablet,190.227.108.26,App
SESSION00320,USR01090,2024-12-15 15:26:36,6021,Tablet,77.35.141.253,Website
SESSION00321,USR08030,2024-03-13 00:21:07,601,Tablet,199.111.51.87,API
SESSION00322,USR08144,2024-01-25 18:05:40,5928,Tablet,13.48.155.20,App
