HistoryID,CardID,StatusChangeDate,PreviousCardType,NewCardType,SpendingDuringPeriod
275,CARD08648,2024-02-04,Gold,Silver,8907.21
276,CARD08073,2023-12-23,Silver,Gold,1817.44
277,CARD08947,2023-07-21,Gold,Membership,9288.31
278,CARD00222,2023-08-01,Membership,Gold,3946.95
279,CARD06240,2024-05-27,Gold,Silver,416.19
280,CARD08891,2023-12-05,Gold,Silver,5305.44
281,CARD05653,2023-02-23,Silver,Gold,7509.16
282,CARD02145,2023-02-05,Gold,Silver,6678.37
283,CARD00219,2024-05-15,Gold,Silver,2406.78
284,CARD04537,2023-09-24,Gold,Silver,8026.36
285,CARD03179,2024-08-16,Silver,Membership,3566.21
286,CARD08473,2023-10-01,Silver,Gold,1629.44
287,CARD03872,2023-11-25,Membership,Silver,7677.17
288,CARD09695,2022-12-26,Gold,Membership,4540.11
289,CARD04208,2023-08-05,Silver,Membership,3192.2
290,CARD06358,2023-01-12,Silver,Membership,3553.04
291,CARD03563,2023-03-23,Gold,Membership,8257.87
292,CARD05524,2023-02-02,Membership,Silver,7312.47
293,CARD02918,2023-03-09,Gold,Silver,2467.74
294,CARD08432,2023-10-11,Silver,Gold,6293.62
295,CARD01279,2023-03-04,Silver,Membership,3029.08
296,CARD06336,2024-04-10,Gold,Silver,3445.0
297,CARD03071,2022-12-31,Silver,Membership,2709.03
298,CARD02521,2023-01-17,Silver,Membership,5512.2
299,CARD02133,2023-03-23,Silver,Membership,2229.52
300,CARD01638,2024-09-27,Silver,Membership,4709.08
301,CARD03472,2024-08-14,Gold,Membership,989.16
302,CARD00576,2023-10-09,Silver,Membership,1497.54
303,CARD07500,2024-07-14,Membership,Gold,9787.08
304,CARD09493,2023-05-18,Membership,Gold,9724.56
305,CARD01350,2024-09-26,Gold,Silver,5191.08
306,CARD09393,2023-07-15,Membership,Silver,2556.38
307,CARD04075,2023-12-13,Membership,Gold,5302.89
308,CARD06158,2024-07-01,Silver,Gold,8357.03
309,CARD07155,2023-02-28,Silver,Membership,6604.64
310,CARD09234,2023-04-08,Gold,Silver,5488.01
311,CARD07421,2024-07-17,Membership,Gold,7398.45
312,CARD04735,2024-07-04,Gold,Membership,4500.59
313,CARD06265,2024-11-21,Silver,Gold,9701.83
314,CARD06988,2023-03-24,Silver,Gold,263.37
315,CARD01745,2023-03-02,Gold,Membership,3549.11
316,CARD05911,2023-07-08,Silver,Gold,5589.07
317,CARD09520,2024-01-12,Silver,Membership,4795.56
318,CARD04419,2023-07-20,Membership,Gold,3645.98
319,CARD00435,2024-04-21,Gold,Membership,3910.9
320,CARD00681,2023-01-06,Gold,Silver,3486.77
321,CARD07995,2024-09-10,Membership,Gold,3508.43
322,CARD01027,2023-03-24,Gold,Membership,2366.47
323,CARD04955,2024-11-10,Gold,Silver,289.74
324,CARD07326,2023-03-28,Gold,Membership,536.38
325,CARD07793,2023-07-06,Membership,Silver,4406.85
326,CARD06047,2023-09-28,Membership,Silver,8361.24
327,CARD01621,2024-10-27,Silver,Gold,1937.26
328,CARD05885,2024-02-11,Membership,Gold,7336.42
329,CARD07147,2024-09-21,Gold,Silver,8554.49
330,CARD09399,2024-09-10,Membership,Silver,3080.06
331,CARD02954,2024-09-27,Silver,Membership,6031.05
332,CARD00750,2024-12-12,Gold,Silver,1893.14
333,CARD01387,2023-06-06,Gold,Membership,7447.93
334,CARD09534,2024-12-11,Gold,Silver,4536.76
335,CARD02611,2024-10-21,Silver,Membership,1512.14
336,CARD09688,2023-04-25,Gold,Silver,5745.31
337,CARD00636,2024-08-25,Gold,Membership,6698.76
338,CARD05882,2023-05-04,Gold,Silver,4168.24
339,CARD09469,2024-07-21,Gold,Membership,9752.22
340,CARD08428,2024-07-29,Membership,Gold,8658.91
341,CARD07935,2023-09-03,Silver,Gold,3340.45
342,CARD04667,2024-11-04,Membership,Silver,2811.2
343,CARD03964,2024-01-13,Membership,Gold,2720.28
344,CARD00158,2024-10-11,Silver,Gold,6379.67
345,CARD01167,2023-12-29,Silver,Gold,1414.4
346,CARD02402,2024-05-27,Silver,Gold,4576.01
347,CARD05474,2024-01-16,Membership,Silver,8277.32
348,CARD06249,2023-01-28,Membership,Gold,2611.08
349,CARD09328,2023-11-23,Membership,Gold,6258.67
350,CARD09492,2023-10-13,Gold,Silver,1133.41
351,CARD00173,2023-08-16,Gold,Membership,9327.86
352,CARD02833,2024-12-11,Gold,Silver,4895.85
353,CARD03280,2023-12-01,Gold,Membership,888.22
354,CARD02145,2023-06-28,Membership,Gold,1170.96
355,CARD07495,2023-05-20,Membership,Silver,5876.78
356,CARD07759,2024-10-03,Silver,Membership,9151.06
357,CARD03485,2023-03-17,Gold,Membership,5909.38
358,CARD00928,2023-04-04,Gold,Silver,9838.94
359,CARD09632,2024-04-23,Membership,Gold,8903.28
360,CARD04911,2023-08-06,Membership,Gold,4886.79
361,CARD06819,2024-01-15,Silver,Membership,2492.6
362,CARD00723,2023-07-22,Silver,Membership,7217.04
363,CARD01626,2024-02-07,Membership,Gold,6420.45
364,CARD06615,2024-06-05,Membership,Gold,9963.48
365,CARD01175,2023-07-30,Silver,Membership,5394.95
366,CARD02959,2024-10-25,Gold,Silver,54.1
367,CARD05398,2023-09-22,Gold,Silver,5410.03
368,CARD03653,2024-08-16,Gold,Silver,9077.95
369,CARD00625,2023-10-01,Gold,Membership,4980.25
370,CARD04662,2024-07-06,Gold,Membership,8054.28
371,CARD01004,2023-09-19,Membership,Gold,2255.27
372,CARD00829,2024-08-27,Membership,Silver,2665.34
373,CARD04317,2024-12-11,Gold,Membership,7393.47
374,CARD06720,2023-06-04,Silver,Membership,4214.04
375,CARD07136,2024-06-05,Membership,Gold,6201.17
376,CARD05765,2023-08-24,Gold,Silver,1495.34
377,CARD02088,2024-01-29,Silver,Membership,1845.05
378,CARD06871,2023-02-08,Silver,Gold,8785.58
379,CARD02300,2024-10-30,Gold,Silver,3585.69
380,CARD07861,2024-08-19,Gold,Silver,9131.32
381,CARD01298,2024-07-21,Membership,Gold,8272.6
382,CARD01163,2024-04-30,Silver,Gold,3912.83
383,CARD08188,2024-06-27,Silver,Gold,4861.26
384,CARD00784,2023-12-08,Gold,Silver,4595.81
385,CARD00479,2024-01-21,Silver,Gold,5346.29
386,CARD01905,2023-10-04,Membership,Silver,4732.04
387,CARD04530,2024-01-08,Silver,Gold,7336.66
388,CARD03968,2023-06-04,Silver,Gold,6839.05
389,CARD03348,2024-07-01,Membership,Gold,4868.99
390,CARD06437,2023-12-16,Silver,Membership,9203.57
391,CARD04287,2024-06-15,Membership,Silver,5147.61
392,CARD04451,2023-05-22,Silver,Gold,4992.59
393,CARD04664,2023-03-24,Membership,Gold,1670.17
394,CARD02319,2023-11-12,Silver,Gold,5335.06
395,CARD03897,2024-02-28,Gold,Silver,8348.06
396,CARD03644,2024-07-24,Membership,Gold,5583.06
397,CARD00500,2023-10-05,Silver,Membership,9116.05
398,CARD00780,2024-07-14,Membership,Silver,6101.67
399,CARD08655,2023-03-28,Membership,Gold,8878.38
400,CARD01333,2023-02-08,Membership,Silver,4524.79
401,CARD02437,2023-11-13,Gold,Membership,3603.92
402,CARD05933,2023-10-16,Gold,Membership,3062.73
403,CARD08788,2024-07-01,Membership,Silver,9386.55
404,CARD09814,2023-01-18,Silver,Membership,9194.15
405,CARD03373,2024-01-25,Membership,Gold,282.22
406,CARD04280,2023-06-11,Silver,Membership,6557.95
407,CARD04050,2024-08-26,Silver,Membership,1675.38
408,CARD06551,2023-02-22,Membership,Gold,922.29
409,CARD00263,2024-07-09,Silver,Gold,2589.87
410,CARD08469,2024-10-13,Membership,Gold,4146.03
411,CARD05651,2023-02-23,Membership,Gold,9738.94
412,CARD02649,2024-11-29,Membership,Silver,9334.24
413,CARD04156,2023-06-29,Silver,Membership,3650.94
414,CARD05633,2023-01-12,Gold,Silver,1490.34
415,CARD03790,2023-04-25,Silver,Membership,6111.58
416,CARD04293,2024-06-21,Silver,Membership,6241.28
417,CARD00087,2024-08-06,Gold,Membership,2432.86
418,CARD01263,2024-07-04,Membership,Gold,1313.06
419,CARD02366,2023-01-11,Gold,Silver,6275.97
420,CARD08908,2023-01-16,Membership,Silver,4593.44
421,CARD03470,2024-07-19,Gold,Membership,1465.96
422,CARD06202,2023-07-25,Silver,Gold,839.3
423,CARD01301,2024-02-06,Membership,Silver,5845.45
424,CARD08768,2024-02-08,Silver,Gold,364.55
425,CARD05003,2024-11-23,Membership,Gold,8952.77
426,CARD02353,2023-01-25,Gold,Silver,2272.8
427,CARD02742,2024-04-30,Gold,Silver,6273.79
428,CARD05497,2023-01-19,Silver,Gold,8834.41
429,CARD03776,2024-09-04,Membership,Silver,5597.16
430,CARD01233,2024-12-03,Membership,Gold,8004.52
431,CARD07178,2023-06-13,Membership,Silver,7130.12
432,CARD03969,2023-05-25,Membership,Gold,2874.8
433,CARD06043,2023-09-08,Gold,Silver,5564.21
434,CARD07720,2023-11-08,Membership,Gold,2927.76
435,CARD07270,2023-12-02,Silver,Membership,9873.35
436,CARD03706,2024-10-29,Silver,Gold,175.9
437,CARD05242,2023-09-10,Membership,Silver,6052.31
438,CARD07441,2024-04-21,Silver,Gold,4099.8
439,CARD05807,2023-01-18,Gold,Membership,4151.72
440,CARD03341,2023-08-27,Silver,Gold,9717.57
441,CARD08743,2024-04-24,Gold,Silver,9137.05
442,CARD07425,2024-09-30,Silver,Membership,3693.58
443,CARD01351,2023-09-12,Membership,Silver,1644.71
444,CARD00215,2024-06-16,Silver,Membership,9753.28
445,CARD02440,2023-01-14,Silver,Gold,9519.76
446,CARD07175,2023-02-20,Membership,Gold,5897.67
447,CARD07949,2023-02-20,Silver,Gold,7714.36
448,CARD01849,2023-02-19,Gold,Membership,8177.39
449,CARD09661,2024-09-09,Gold,Membership,1355.87
450,CARD06121,2022-12-22,Membership,Gold,5913.4
451,CARD00155,2024-08-25,Silver,Membership,2374.62
452,CARD03797,2023-10-14,Silver,Membership,2139.37
453,CARD07202,2023-08-01,Silver,Gold,1896.76
454,CARD05611,2023-01-15,Membership,Gold,9796.85
455,CARD08372,2024-11-08,Membership,Gold,4157.73
456,CARD06504,2024-09-16,Membership,Silver,6908.03
457,CARD00883,2024-02-16,Gold,Membership,6751.49
458,CARD01954,2024-06-01,Silver,Gold,7556.87
459,CARD00899,2023-09-27,Gold,Membership,9246.84
460,CARD09907,2024-03-15,Gold,Silver,6274.2
461,CARD04149,2024-11-05,Membership,Gold,7806.85
462,CARD09189,2024-04-30,Membership,Silver,2409.51
463,CARD02152,2024-12-04,Membership,Silver,3699.59
464,CARD08219,2024-08-26,Silver,Membership,7488.13
465,CARD06918,2024-10-29,Silver,Membership,5855.48
466,CARD01837,2023-04-06,Membership,Gold,6704.19
467,CARD07757,2024-04-08,Gold,Membership,5104.32
468,CARD01616,2023-08-02,Silver,Membership,5793.5
469,CARD09813,2024-03-14,Membership,Gold,4948.26
470,CARD03851,2023-02-25,Gold,Silver,1247.75
471,CARD00981,2023-01-04,Silver,Gold,4023.25
472,CARD07208,2024-07-12,Membership,Silver,6661.66
473,CARD08054,2024-11-23,Membership,Gold,4040.87
474,CARD06427,2023-01-27,Gold,Membership,3169.53
475,CARD04928,2023-04-14,Gold,Membership,494.52
476,CARD01666,2024-05-29,Silver,Gold,4222.49
477,CARD07656,2023-05-15,Gold,Silver,5568.29
478,CARD08237,2023-05-19,Silver,Gold,5462.87
479,CARD01442,2023-02-12,Gold,Silver,4901.29
480,CARD03764,2023-02-08,Silver,Gold,575.01
481,CARD01912,2023-08-23,Membership,Gold,6376.64
482,CARD08048,2024-01-12,Gold,Silver,7513.37
483,CARD09771,2024-08-04,Gold,Membership,1820.63
484,CARD09654,2023-08-03,Silver,Membership,7400.67
485,CARD02415,2023-05-02,Membership,Silver,8249.92
486,CARD05859,2023-05-30,Silver,Membership,6406.99
487,CARD00175,2023-04-05,Membership,Gold,2442.33
488,CARD00454,2024-10-31,Gold,Membership,5071.06
489,CARD02864,2024-10-11,Membership,Silver,724.26
490,CARD09725,2023-08-29,Membership,Silver,6007.7
491,CARD09810,2024-04-17,Gold,Membership,4803.84
492,CARD07833,2024-02-21,Membership,Silver,5599.71
493,CARD06919,2023-05-09,Silver,Membership,9472.44
494,CARD03658,2023-08-03,Membership,Gold,2650.46
495,CARD04206,2024-08-06,Silver,Membership,8307.94
496,CARD08688,2023-12-20,Gold,Silver,5512.55
497,CARD09209,2023-01-24,Silver,Membership,3580.83
498,CARD05168,2023-09-18,Gold,Membership,8065.01
