OrderID,OrderDate,StaffID,TableNumber,BranchID,CustomerID
ORD00048,2024-01-01,ST00507,35,BR00546,CUST08646
ORD00049,2024-12-16,ST00990,48,BR00670,CUST00178
ORD00050,2024-07-22,ST00555,14,BR00012,CUST01051
ORD00051,2024-07-22,ST00458,46,BR00036,CUST02704
ORD00052,2024-06-29,ST00899,45,BR00291,CUST01234
ORD00053,2024-08-04,ST00344,1,BR00261,CUST07705
ORD00054,2024-08-21,ST00123,27,BR00773,CUST09614
ORD00055,2024-06-14,ST00671,24,BR00707,CUST07484
ORD00056,2024-06-20,ST00474,43,BR00108,CUST05637
ORD00057,2024-08-28,ST00448,35,BR00321,CUST02204
ORD00058,2024-11-24,ST00467,33,BR00162,CUST03702
ORD00059,2024-10-05,ST00854,26,BR00982,CUST09703
ORD00060,2024-05-22,ST00370,1,BR00691,CUST05441
ORD00061,2024-06-28,ST00342,30,BR00211,CUST04897
ORD00062,2024-05-21,ST00368,31,BR00922,CUST08437
ORD00063,2024-03-13,ST00627,37,BR00184,CUST03412
ORD00064,2024-11-10,ST00596,19,BR00991,CUST06393
ORD00065,2024-07-28,ST00782,26,BR00024,CUST05693
ORD00066,2024-01-18,ST00229,21,BR00748,CUST00623
ORD00067,2024-09-15,ST00685,4,BR00552,CUST08065
ORD00068,2024-11-16,ST00621,9,BR00668,CUST09993
ORD00069,2024-06-13,ST00488,45,BR00571,CUST09904
ORD00070,2024-03-13,ST00326,8,BR00309,CUST04819
ORD00071,2024-02-10,ST00254,4,BR00173,CUST04363
ORD00072,2024-03-30,ST00176,39,BR00805,CUST06417
ORD00073,2024-01-23,ST00225,47,BR00906,CUST03490
ORD00074,2024-05-10,ST00987,19,BR00641,CUST07190
ORD00075,2024-04-28,ST00998,44,BR00057,CUST05831
ORD00076,2024-01-17,ST00647,10,BR00805,CUST05671
ORD00077,2024-05-22,ST00186,25,BR00357,CUST00404
ORD00078,2024-10-31,ST00778,3,BR00434,CUST00872
ORD00079,2024-06-17,ST00494,34,BR00291,CUST02273
ORD00080,2024-03-23,ST00241,8,BR00709,CUST00323
ORD00081,2024-12-05,ST00250,20,BR00631,CUST04900
ORD00082,2024-03-30,ST00397,46,BR00083,CUST02182
ORD00083,2024-03-14,ST00419,22,BR00175,CUST01416
ORD00084,2024-11-20,ST00624,7,BR00366,CUST05280
ORD00085,2023-12-31,ST00055,6,BR00765,CUST05247
ORD00086,2024-04-10,ST00880,18,BR00525,CUST01316
ORD00087,2024-07-14,ST00393,13,BR00954,CUST02911
ORD00088,2024-01-11,ST00004,35,BR00773,CUST02627
ORD00089,2024-03-02,ST00393,30,BR00136,CUST04177
ORD00090,2024-09-18,ST00862,29,BR00212,CUST06586
ORD00091,2024-06-05,ST00344,25,BR00532,CUST07176
ORD00092,2024-12-03,ST00534,38,BR00938,CUST01408
ORD00093,2024-12-10,ST00909,41,BR00756,CUST03810
ORD00094,2024-07-25,ST00777,35,BR00453,CUST01862
ORD00095,2024-05-03,ST00333,14,BR00227,CUST09552
ORD00096,2024-04-08,ST00126,40,BR00873,CUST03171
ORD00097,2024-08-05,ST00374,49,BR00191,CUST09233
ORD00098,2023-12-24,ST00671,32,BR00063,CUST03555
ORD00099,2024-10-20,ST00536,37,BR00050,CUST07402
ORD00100,2024-02-06,ST00004,47,BR00557,CUST07546
ORD00101,2024-12-10,ST00325,32,BR00401,CUST08978
ORD00102,2024-03-16,ST00673,11,BR00522,CUST01096
ORD00103,2024-05-17,ST00763,28,BR00107,CUST00523
ORD00104,2024-06-20,ST00137,43,BR00848,CUST06690
ORD00105,2024-04-12,ST00984,19,BR00004,CUST08446
ORD00106,2024-10-27,ST00861,41,BR00134,CUST06875
ORD00107,2024-06-17,ST00249,31,BR00094,CUST03734
ORD00108,2024-11-15,ST00448,10,BR00191,CUST05438
ORD00109,2024-04-21,ST00220,9,BR00615,CUST01900
ORD00110,2024-07-11,ST00835,26,BR00729,CUST02209
ORD00111,2024-02-26,ST00605,23,BR00256,CUST09044
ORD00112,2024-04-29,ST00481,34,BR00367,CUST01888
ORD00113,2024-05-19,ST00243,43,BR00510,CUST07946
ORD00114,2024-08-08,ST00028,41,BR00098,CUST02621
ORD00115,2024-01-03,ST00998,40,BR00051,CUST08311
ORD00116,2024-02-13,ST00525,22,BR00529,CUST05352
ORD00117,2024-09-05,ST00230,42,BR00428,CUST07344
ORD00118,2024-10-30,ST00824,28,BR00333,CUST08611
ORD00119,2024-01-24,ST00925,6,BR00816,CUST01564
ORD00120,2024-05-11,ST00383,34,BR00596,CUST01200
ORD00121,2024-03-28,ST00771,30,BR00088,CUST08167
ORD00122,2024-09-14,ST00514,47,BR00620,CUST03919
ORD00123,2024-05-11,ST00167,4,BR00847,CUST04518
ORD00124,2024-12-12,ST00053,44,BR00904,CUST07905
ORD00125,2024-02-13,ST00149,14,BR00194,CUST05228
ORD00126,2024-01-17,ST00247,30,BR00510,CUST06578
ORD00127,2024-04-04,ST00050,44,BR00432,CUST01026
ORD00128,2024-09-07,ST00778,19,BR00654,CUST04828
ORD00129,2024-03-04,ST00319,3,BR00977,CUST05654
ORD00130,2024-11-05,ST00634,49,BR00385,CUST03875
ORD00131,2024-02-06,ST00564,42,BR00166,CUST09029
ORD00132,2024-07-26,ST00738,40,BR00233,CUST09717
ORD00133,2024-04-18,ST00208,26,BR00339,CUST09420
ORD00134,2024-07-26,ST00377,49,BR00877,CUST01083
ORD00135,2024-10-28,ST00209,45,BR00121,CUST09620
ORD00136,2024-01-20,ST00277,16,BR00024,CUST05784
ORD00137,2024-03-15,ST00983,50,BR00130,CUST03344
ORD00138,2024-05-31,ST00643,40,BR00364,CUST02449
ORD00139,2024-03-25,ST00418,20,BR00353,CUST00786
ORD00140,2024-05-20,ST00515,26,BR00899,CUST03554
ORD00141,2024-03-27,ST00985,23,BR00224,CUST06516
ORD00142,2024-01-23,ST00076,36,BR00312,CUST05409
ORD00143,2024-01-29,ST00992,10,BR00380,CUST00362
ORD00144,2023-12-30,ST00887,26,BR00861,CUST00904
ORD00145,2024-12-02,ST00201,44,BR00324,CUST04005
ORD00146,2024-11-24,ST00659,34,BR00048,CUST01880
ORD00147,2024-11-06,ST00166,23,BR00054,CUST06466
ORD00148,2024-08-14,ST00555,15,BR00934,CUST08433
ORD00149,2024-03-05,ST00592,30,BR00429,CUST02430
ORD00150,2024-03-25,ST00904,39,BR00050,CUST09842
ORD00151,2024-10-22,ST00996,38,BR00425,CUST04438
ORD00152,2023-12-27,ST00340,11,BR00858,CUST04820
ORD00153,2024-05-02,ST00391,32,BR00386,CUST03154
ORD00154,2024-11-11,ST00534,28,BR00026,CUST09265
ORD00155,2024-09-13,ST00463,40,BR00390,CUST07351
ORD00156,2024-04-29,ST00545,38,BR00156,CUST06233
ORD00157,2024-04-22,ST00330,6,BR00831,CUST02967
ORD00158,2024-07-30,ST00705,50,BR00741,CUST02115
ORD00159,2023-12-26,ST00588,42,BR00897,CUST01496
ORD00160,2024-11-21,ST00738,50,BR00441,CUST01936
ORD00161,2024-05-09,ST00799,32,BR00865,CUST01397
ORD00162,2024-07-16,ST00029,36,BR00021,CUST00630
ORD00163,2024-08-02,ST00271,6,BR00463,CUST07514
ORD00164,2024-02-06,ST00299,2,BR00099,CUST09341
ORD00165,2024-01-15,ST00020,9,BR00444,CUST04794
ORD00166,2024-10-15,ST00434,13,BR00511,CUST03080
ORD00167,2024-06-29,ST00518,14,BR00463,CUST07095
ORD00168,2024-07-01,ST00013,13,BR00815,CUST04926
ORD00169,2024-10-13,ST00259,37,BR00153,CUST03727
ORD00170,2024-06-12,ST00670,24,BR00202,CUST01338
ORD00171,2024-02-01,ST00591,30,BR00364,CUST00854
ORD00172,2024-07-01,ST00006,26,BR00703,CUST03226
ORD00173,2024-05-03,ST00325,47,BR00989,CUST01327
ORD00174,2024-03-18,ST00973,26,BR00581,CUST09018
ORD00175,2024-03-16,ST00360,21,BR00473,CUST04882
ORD00176,2024-01-14,ST00413,16,BR00460,CUST04190
ORD00177,2024-03-18,ST00228,9,BR00590,CUST00698
ORD00178,2024-02-24,ST00292,18,BR00840,CUST05870
ORD00179,2024-02-28,ST00042,50,BR00979,CUST02881
ORD00180,2024-11-30,ST00919,28,BR00176,CUST08755
ORD00181,2024-01-28,ST00314,8,BR00823,CUST09470
ORD00182,2024-03-05,ST00614,28,BR00960,CUST02221
ORD00183,2024-10-12,ST00554,46,BR00438,CUST07914
ORD00184,2024-05-09,ST00812,12,BR00983,CUST09310
ORD00185,2024-04-08,ST00549,25,BR00140,CUST09516
ORD00186,2024-10-25,ST00514,26,BR00300,CUST05606
ORD00187,2024-05-29,ST00563,8,BR00436,CUST02371
ORD00188,2024-06-03,ST00967,4,BR00358,CUST06882
ORD00189,2024-10-29,ST00421,12,BR00084,CUST04296
ORD00190,2024-03-27,ST00014,7,BR00416,CUST08319
ORD00191,2024-02-02,ST00770,3,BR00278,CUST01266
ORD00192,2024-06-25,ST00909,9,BR00098,CUST09623
ORD00193,2024-12-09,ST00701,1,BR00623,CUST07175
ORD00194,2024-07-05,ST00619,39,BR00585,CUST02309
ORD00195,2024-07-19,ST00387,26,BR00180,CUST08313
ORD00196,2024-04-29,ST00920,9,BR00045,CUST05432
ORD00197,2024-08-30,ST00755,5,BR00714,CUST06616
ORD00198,2024-06-28,ST00223,45,BR00473,CUST01737
ORD00199,2024-04-02,ST00411,39,BR00600,CUST04931
ORD00200,2024-03-06,ST00041,43,BR00290,CUST05251
ORD00201,2024-05-21,ST00247,45,BR00162,CUST04244
ORD00202,2024-02-19,ST00857,2,BR00971,CUST07821
ORD00203,2024-10-22,ST00637,11,BR00597,CUST07158
ORD00204,2024-08-31,ST00094,15,BR00863,CUST01846
ORD00205,2024-11-20,ST00022,37,BR00990,CUST02008
ORD00206,2024-11-01,ST00706,29,BR00390,CUST07074
ORD00207,2024-06-22,ST00964,49,BR00056,CUST09635
ORD00208,2024-09-22,ST00605,44,BR00481,CUST03990
ORD00209,2024-09-14,ST00424,50,BR00764,CUST09772
ORD00210,2024-05-14,ST00427,13,BR00151,CUST04392
ORD00211,2024-05-20,ST00593,47,BR00019,CUST05663
ORD00212,2024-07-16,ST00159,6,BR00177,CUST08201
ORD00213,2024-01-25,ST00831,7,BR00092,CUST00910
ORD00214,2024-02-24,ST00256,45,BR00110,CUST02640
ORD00215,2024-04-06,ST00481,25,BR00628,CUST00204
ORD00216,2024-06-14,ST00586,12,BR00956,CUST04060
ORD00217,2024-09-21,ST00774,40,BR00481,CUST03805
ORD00218,2024-09-06,ST00641,47,BR00316,CUST04207
ORD00219,2024-06-09,ST00596,3,BR00553,CUST06933
ORD00220,2024-05-03,ST00342,9,BR00688,CUST04596
ORD00221,2024-11-06,ST00083,46,BR00211,CUST07109
ORD00222,2024-07-19,ST00597,34,BR00140,CUST08459
ORD00223,2024-08-17,ST00620,36,BR00272,CUST01562
ORD00224,2024-09-26,ST00436,16,BR00077,CUST03594
ORD00225,2024-09-03,ST00502,12,BR00360,CUST03789
ORD00226,2024-08-20,ST00867,20,BR00209,CUST05470
ORD00227,2024-04-08,ST00383,15,BR00454,CUST09661
ORD00228,2024-08-02,ST00095,47,BR00183,CUST04607
ORD00229,2024-11-21,ST00898,16,BR00626,CUST05297
ORD00230,2024-02-14,ST00971,15,BR00817,CUST03545
ORD00231,2024-11-25,ST00367,33,BR00216,CUST01886
ORD00232,2024-03-16,ST00376,1,BR00345,CUST07130
ORD00233,2024-07-17,ST00328,18,BR00978,CUST06845
ORD00234,2024-02-29,ST00154,1,BR00829,CUST01753
ORD00235,2024-02-08,ST00100,28,BR00297,CUST07542
ORD00236,2024-06-08,ST00947,40,BR00050,CUST09538
ORD00237,2024-11-16,ST00269,42,BR00938,CUST04369
ORD00238,2023-12-31,ST00257,36,BR00801,CUST02194
ORD00239,2024-06-18,ST00745,3,BR00471,CUST01548
ORD00240,2024-12-09,ST00509,9,BR00441,CUST01760
ORD00241,2024-01-25,ST00281,42,BR00359,CUST03626
ORD00242,2024-05-30,ST00100,41,BR00676,CUST04564
ORD00243,2024-09-01,ST00174,12,BR00559,CUST00767
ORD00244,2024-09-22,ST00847,15,BR00448,CUST09404
ORD00245,2024-08-21,ST00815,6,BR00273,CUST08501
ORD00246,2024-07-08,ST00025,26,BR00341,CUST06940
ORD00247,2024-08-30,ST00503,30,BR00951,CUST07520
ORD00248,2024-10-06,ST00672,40,BR00171,CUST08626
ORD00249,2024-08-07,ST00626,11,BR00730,CUST03665
ORD00250,2024-03-14,ST00497,46,BR00080,CUST01436
ORD00251,2024-02-18,ST00650,5,BR00324,CUST03877
ORD00252,2024-09-18,ST00392,45,BR00841,CUST06257
ORD00253,2024-12-09,ST00913,20,BR00638,CUST06698
ORD00254,2024-10-11,ST00976,19,BR00970,CUST02578
ORD00255,2024-03-31,ST00738,26,BR00877,CUST04131
ORD00256,2024-10-26,ST00546,7,BR00849,CUST08971
ORD00257,2024-06-21,ST00497,23,BR00539,CUST00807
ORD00258,2024-07-01,ST00941,26,BR00836,CUST06829
ORD00259,2024-06-18,ST00203,1,BR00380,CUST06547
ORD00260,2024-07-19,ST00245,42,BR00154,CUST04445
ORD00261,2024-06-28,ST00902,47,BR00413,CUST01080
ORD00262,2024-05-18,ST00952,3,BR00012,CUST08144
ORD00263,2024-04-22,ST00230,12,BR00820,CUST08638
ORD00264,2024-09-07,ST00119,44,BR00612,CUST01081
ORD00265,2024-02-22,ST00273,3,BR00413,CUST05553
ORD00266,2024-12-04,ST00950,6,BR00574,CUST05687
ORD00267,2024-03-22,ST00863,29,BR00337,CUST04276
ORD00268,2024-01-21,ST00161,3,BR00055,CUST04395
ORD00269,2024-09-06,ST00473,31,BR00883,CUST09270
ORD00270,2024-09-30,ST00600,17,BR00658,CUST05398
ORD00271,2024-11-24,ST00353,36,BR00525,CUST01546
ORD00272,2024-10-18,ST00318,41,BR00619,CUST07017
ORD00273,2024-02-01,ST00079,47,BR00908,CUST08665
ORD00274,2024-09-18,ST00346,9,BR00927,CUST04295
ORD00275,2024-10-04,ST00656,46,BR00477,CUST05481
ORD00276,2024-06-24,ST00405,13,BR00962,CUST05679
ORD00277,2024-01-18,ST00303,37,BR00973,CUST07706
ORD00278,2024-05-01,ST00904,30,BR00557,CUST00408
ORD00279,2024-03-09,ST00236,32,BR00315,CUST04975
ORD00280,2024-11-16,ST00179,35,BR00567,CUST08691
ORD00281,2024-01-09,ST00197,19,BR00376,CUST06291
ORD00282,2024-10-05,ST00610,5,BR00411,CUST07152
ORD00283,2024-05-06,ST00974,25,BR00287,CUST07654
ORD00284,2024-01-30,ST00639,19,BR00829,CUST03719
ORD00285,2024-03-21,ST00926,4,BR00375,CUST06315
ORD00286,2024-07-28,ST00843,25,BR00982,CUST09470
ORD00287,2024-05-26,ST00843,35,BR00657,CUST04030
ORD00288,2024-07-17,ST00224,23,BR00882,CUST05348
ORD00289,2024-02-13,ST00483,8,BR00576,CUST04887
ORD00290,2024-07-22,ST00694,6,BR00258,CUST01155
ORD00291,2024-02-08,ST00137,17,BR00413,CUST09523
ORD00292,2024-06-05,ST00089,48,BR00303,CUST08536
ORD00293,2024-06-09,ST00484,28,BR00195,CUST01454
ORD00294,2024-02-01,ST00925,9,BR00984,CUST05876
ORD00295,2024-08-27,ST00757,50,BR00413,CUST06669
ORD00296,2024-11-21,ST00177,19,BR00821,CUST03934
ORD00297,2024-04-27,ST00651,6,BR00817,CUST07231
ORD00298,2024-08-05,ST00845,48,BR00713,CUST03562
ORD00299,2024-10-11,ST00477,50,BR00519,CUST01724
ORD00300,2024-04-08,ST00786,1,BR00275,CUST05027
ORD00301,2024-08-07,ST00306,23,BR00655,CUST01301
ORD00302,2024-11-22,ST00791,36,BR00465,CUST01997
ORD00303,2024-10-20,ST00880,7,BR00106,CUST03954
ORD00304,2024-02-17,ST00769,4,BR00634,CUST02053
ORD00305,2024-08-19,ST00988,13,BR00412,CUST05376
ORD00306,2024-09-23,ST00690,49,BR00645,CUST07225
ORD00307,2024-02-23,ST00754,16,BR00598,CUST00628
ORD00308,2024-01-17,ST00875,20,BR00141,CUST00353
ORD00309,2024-05-03,ST00570,28,BR00383,CUST01976
ORD00310,2024-05-29,ST00372,19,BR00531,CUST07010
ORD00311,2024-06-26,ST00210,49,BR00906,CUST06880
ORD00312,2024-07-05,ST00315,47,BR00560,CUST00445
ORD00313,2024-08-20,ST00497,17,BR00611,CUST09103
ORD00314,2024-01-18,ST00860,9,BR00180,CUST06815
ORD00315,2024-04-28,ST00461,5,BR00398,CUST01535
ORD00316,2024-06-23,ST00075,29,BR00345,CUST02616
ORD00317,2024-08-03,ST00807,35,BR00239,CUST07740
ORD00318,2024-02-05,ST00076,25,BR00634,CUST02061
ORD00319,2024-03-06,ST00783,18,BR00585,CUST07001
ORD00320,2024-05-11,ST00910,36,BR00344,CUST02067
ORD00321,2024-01-24,ST00318,43,BR00675,CUST06173
ORD00322,2024-07-19,ST00137,46,BR00557,CUST00408
ORD00323,2024-03-16,ST00974,18,BR00823,CUST08852
ORD00324,2024-12-03,ST00289,28,BR00673,CUST08942
ORD00325,2024-09-02,ST00885,14,BR00276,CUST04310
ORD00326,2024-02-01,ST00517,5,BR00843,CUST08783
ORD00327,2023-12-23,ST00503,40,BR00407,CUST09852
ORD00328,2024-11-30,ST00318,46,BR00795,CUST00614
ORD00329,2024-03-07,ST00244,5,BR00730,CUST09783
ORD00330,2024-08-11,ST00945,36,BR00184,CUST03613
ORD00331,2024-03-31,ST00105,40,BR00528,CUST07404
ORD00332,2024-12-02,ST00971,50,BR00897,CUST05524
ORD00333,2024-05-12,ST00339,6,BR00756,CUST06211
ORD00334,2024-05-14,ST00930,12,BR00791,CUST01443
ORD00335,2024-12-01,ST00816,10,BR00591,CUST09170
ORD00336,2024-05-15,ST00371,9,BR00151,CUST07223
ORD00337,2024-03-08,ST00033,26,BR00754,CUST01973
ORD00338,2024-05-24,ST00062,48,BR00108,CUST08158
ORD00339,2024-11-09,ST00301,38,BR00857,CUST03026
ORD00340,2024-09-07,ST00461,36,BR00625,CUST04694
ORD00341,2024-09-21,ST00480,12,BR00347,CUST08829
ORD00342,2024-10-21,ST00872,29,BR00722,CUST00224
ORD00343,2024-07-30,ST00872,19,BR00228,CUST08950
ORD00344,2024-04-04,ST00386,9,BR00380,CUST00669
ORD00345,2024-08-01,ST00175,3,BR00316,CUST09025
ORD00346,2024-10-09,ST00225,38,BR00567,CUST02258
ORD00347,2024-02-03,ST00907,12,BR00534,CUST02680
ORD00348,2024-03-17,ST00239,30,BR00834,CUST04378
ORD00349,2024-10-04,ST00827,15,BR00415,CUST01347
ORD00350,2024-01-13,ST00327,32,BR00439,CUST05895
ORD00351,2024-11-30,ST00043,24,BR00621,CUST02184
ORD00352,2024-05-23,ST00983,14,BR00934,CUST08429
ORD00353,2024-04-21,ST00431,18,BR00668,CUST01577
ORD00354,2024-11-13,ST00143,8,BR00115,CUST06943
ORD00355,2024-09-21,ST00714,50,BR00331,CUST00731
ORD00356,2024-12-01,ST00929,39,BR00255,CUST01483
ORD00357,2024-07-21,ST00829,23,BR00792,CUST01852
ORD00358,2024-05-24,ST00629,42,BR00853,CUST02376
ORD00359,2024-07-06,ST00417,14,BR00880,CUST02888
ORD00360,2024-02-11,ST00486,50,BR00386,CUST07507
ORD00361,2024-07-06,ST00211,28,BR00652,CUST05572
ORD00362,2024-06-07,ST00216,28,BR00808,CUST04668
ORD00363,2024-02-23,ST00701,27,BR00685,CUST09314
ORD00364,2024-05-13,ST00809,31,BR00235,CUST08572
ORD00365,2024-01-24,ST00348,49,BR00411,CUST00371
ORD00366,2024-11-25,ST00524,5,BR00750,CUST08129
ORD00367,2024-02-21,ST00237,13,BR00451,CUST02837
ORD00368,2024-05-05,ST00898,46,BR00754,CUST03104
ORD00369,2024-05-11,ST00232,19,BR00166,CUST09458
ORD00370,2024-04-15,ST00257,24,BR00500,CUST04078
ORD00371,2024-04-09,ST00362,13,BR00007,CUST03924
ORD00372,2024-02-14,ST00126,45,BR00270,CUST02572
ORD00373,2024-12-10,ST00734,25,BR00126,CUST07132
ORD00374,2024-09-22,ST00450,50,BR00093,CUST04862
ORD00375,2024-03-21,ST00115,6,BR00077,CUST03644
ORD00376,2024-04-10,ST00303,49,BR00039,CUST04981
ORD00377,2024-09-18,ST00187,32,BR00643,CUST07766
ORD00378,2024-09-09,ST00211,26,BR00996,CUST08427
ORD00379,2024-04-08,ST00540,2,BR00511,CUST01067
ORD00380,2024-09-26,ST00986,2,BR00512,CUST07227
ORD00381,2024-10-15,ST00331,10,BR00030,CUST03674
ORD00382,2024-01-27,ST00356,13,BR00852,CUST08706
ORD00383,2024-05-06,ST00780,9,BR00796,CUST09563
ORD00384,2024-11-08,ST00315,13,BR00049,CUST05075
ORD00385,2024-06-13,ST00631,13,BR00083,CUST00679
ORD00386,2024-11-02,ST00191,15,BR00221,CUST00389
ORD00387,2024-04-04,ST00614,24,BR00205,CUST04571
ORD00388,2024-12-02,ST00595,48,BR00202,CUST02430
ORD00389,2024-02-13,ST00320,13,BR00060,CUST06520
ORD00390,2024-03-15,ST00801,33,BR00813,CUST07262
ORD00391,2024-07-06,ST00873,31,BR00187,CUST07683
ORD00392,2024-11-10,ST00572,36,BR00138,CUST08545
ORD00393,2024-02-12,ST00733,28,BR00064,CUST08980
ORD00394,2024-01-04,ST00487,4,BR00496,CUST00240
ORD00395,2024-02-26,ST00779,18,BR00679,CUST00806
ORD00396,2024-09-09,ST00464,31,BR00931,CUST08840
ORD00397,2024-02-03,ST00047,35,BR00509,CUST03283
ORD00398,2024-09-19,ST00337,26,BR00623,CUST00482
ORD00399,2024-12-07,ST00915,49,BR00011,CUST02806
ORD00400,2024-07-26,ST00126,39,BR00915,CUST05350
ORD00401,2024-05-27,ST00485,50,BR00217,CUST00547
ORD00402,2024-01-17,ST00226,1,BR00628,CUST00010
ORD00403,2024-06-04,ST00802,5,BR00090,CUST00696
ORD00404,2024-04-08,ST00576,43,BR00638,CUST02149
ORD00405,2024-02-25,ST00868,14,BR00775,CUST04396
ORD00406,2024-05-22,ST00042,47,BR00436,CUST08463
ORD00407,2024-03-30,ST00145,32,BR00237,CUST00990
ORD00408,2024-04-05,ST00454,24,BR00278,CUST06785
ORD00409,2024-03-26,ST00896,44,BR00704,CUST08969
ORD00410,2024-07-09,ST00697,28,BR00631,CUST08917
ORD00411,2024-05-23,ST00462,4,BR00439,CUST07070
ORD00412,2024-08-17,ST00120,28,BR00645,CUST05897
ORD00413,2024-03-26,ST00846,19,BR00939,CUST00586
ORD00414,2024-11-11,ST00201,44,BR00662,CUST05065
ORD00415,2024-09-04,ST00919,8,BR00236,CUST03082
ORD00416,2024-09-22,ST00493,10,BR00427,CUST05042
ORD00417,2024-07-01,ST00386,7,BR00029,CUST03214
ORD00418,2024-03-27,ST00583,17,BR00520,CUST09913
ORD00419,2024-10-13,ST00686,7,BR00071,CUST06823
ORD00420,2024-06-22,ST00791,32,BR00389,CUST06430
ORD00421,2024-10-20,ST00417,10,BR00458,CUST07090
ORD00422,2024-02-13,ST00381,11,BR00852,CUST02812
ORD00423,2024-07-01,ST00324,14,BR00041,CUST08510
ORD00424,2023-12-18,ST00403,49,BR00102,CUST07530
ORD00425,2024-06-08,ST00293,23,BR00357,CUST05180
ORD00426,2024-10-20,ST00261,16,BR00637,CUST07091
ORD00427,2024-08-09,ST00294,45,BR00533,CUST03038
ORD00428,2024-01-05,ST00359,50,BR00677,CUST07246
ORD00429,2024-11-27,ST00151,7,BR00180,CUST04674
ORD00430,2024-10-06,ST00750,38,BR00145,CUST02125
ORD00431,2024-03-22,ST00080,1,BR00974,CUST00453
ORD00432,2024-07-18,ST00736,25,BR00907,CUST03010
ORD00433,2024-04-12,ST00445,40,BR00157,CUST02985
ORD00434,2024-01-30,ST00902,47,BR00905,CUST05836
ORD00435,2024-02-12,ST00610,16,BR00134,CUST03493
ORD00436,2024-02-24,ST00655,30,BR00148,CUST05581
ORD00437,2024-09-04,ST00209,29,BR00072,CUST06801
ORD00438,2024-10-05,ST00383,46,BR00428,CUST06489
ORD00439,2024-02-29,ST00626,13,BR00314,CUST03105
ORD00440,2024-11-30,ST00664,37,BR00573,CUST05178
ORD00441,2024-04-25,ST00058,46,BR00601,CUST00216
ORD00442,2024-10-03,ST00045,31,BR00579,CUST08939
ORD00443,2023-12-19,ST00781,14,BR00761,CUST03173
ORD00444,2024-04-20,ST00003,39,BR00074,CUST09003
ORD00445,2024-04-29,ST00745,1,BR00806,CUST08663
ORD00446,2024-01-02,ST00664,46,BR00285,CUST06246
ORD00447,2024-02-17,ST00081,28,BR00582,CUST08523
ORD00448,2024-07-29,ST00318,29,BR00590,CUST04464
ORD00449,2024-07-24,ST00468,18,BR00774,CUST00949
